year,constraint_type,node_id,province,slack_value,unit
2040,water_supply,WC_0044_0018_K,新疆维吾尔族自治区,1637514.829133134,m3
2040,water_supply,WC_0046_0021_K,新疆维吾尔族自治区,99614.67941506096,m3
2050,water_supply,WC_0044_0018_K,新疆维吾尔族自治区,1236953.3511759338,m3
2060,water_supply,WC_0044_0018_K,新疆维吾尔族自治区,2635801.72052404,m3
