plant_id,water_node_id,distance_km,distance_rank,delivered_cost_cny_per_m3,year,flow_m3,centroid_longitude,centroid_latitude,province_name
P0150,WC_0053_0013_F,7.33,1,4.3667,2030,1335833.94,107.028961,27.13609633333333,Guizhou
P0151,WC_0058_0018_D,66.17,3,7.3084,2030,3258177.810000003,117.24917,36.84487961052631,Shandong
P0152,WC_0055_0010_H,38.97,1,5.9485,2030,11756661.549499998,110.8766253,21.674481614285718,Guangdong
P0153,WC_0065_0023_A,43.11,1,6.1554,2030,12415288.275000002,130.29474041818182,47.05959753636363,Heilongjiang
P0154,WC_0058_0019_C,43.67,1,6.1834,2030,21476749.35883974,117.49515763809524,38.89308288571428,Tianjin
P0155,WC_0056_0018_C,36.23,1,5.8115,2030,2367313.343,113.0482917,36.9563088,Shanxi
P0156,WC_0051_0012_J,22.35,1,5.1176,2030,5405533.199999998,102.3335597,25.0149171,Yunnan
P0157,WC_0052_0013_F,99.16,2,8.9581,2030,11953716.193283755,105.61257831999998,26.32126902000001,Guizhou
P0157,WC_0053_0013_H,138.32,3,10.9161,2030,14568970.466640815,105.61257831999998,26.32126902000001,Guizhou
P0157,WC_0052_0012_H,146.97,4,11.3485,2030,4916674.811668567,105.61257831999998,26.32126902000001,Guizhou
P0157,WC_0053_0013_F,164.27,5,12.2136,2030,3696318.1668068543,105.61257831999998,26.32126902000001,Guizhou
P0158,WC_0053_0011_H,80.15,1,8.0077,2030,6260836.9005,106.45162566666669,23.29812266666666,Guangxi
P0159,WC_0059_0012_G,76.32,1,7.816,2030,2164066.3395999996,118.63520546666663,24.687213566666667,Fujian
P0160,WC_0056_0015_F,109.42,1,9.4712,2030,14622562.593599996,112.36138973333333,30.151720266666665,Hubei
P0161,WC_0059_0014_G,23.32,1,5.1658,2030,5284827.675,118.8811483,28.9022094,Zhejiang
P0162,WC_0059_0017_E,116.62,4,9.8311,2030,4525243.081799999,117.7606535,35.409393550000004,Shandong
P0163,WC_0058_0020_C,160.12,3,12.0058,2030,2067611.9100000001,116.90355235,39.31496365,Hebei
P0164,WC_0056_0014_F,39.11,1,5.9556,2030,5015834.496,112.9124966,28.5953512,Hunan
P0165,WC_0056_0018_C,33.47,1,5.6736,2030,6629188.8,113.6907271,36.5985437,Hebei
P0166,WC_0053_0011_H,81.46,1,8.0732,2030,12174391.611200001,106.9209267,23.73388806,Guangxi
P0167,WC_0058_0018_E,45.5,1,6.2748,2030,3696094.8042679275,117.967045252,36.863153202,Shandong
P0167,WC_0058_0018_D,94.73,3,8.7366,2030,246518.39697271783,117.967045252,36.863153202,Shandong
P0167,WC_0058_0017_D,125.3,7,10.2648,2030,4971389.721199353,117.967045252,36.863153202,Shandong
