node_id,lon,lat,node_type,degree,source,year_basis,plant_id,plant_index,storage_hub_id,storage_hub_index,province
node_00052,104.228401,30.311518,corridor_endpoint,1,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00053,104.339292,37.540193,corridor_junction,2,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00054,104.377364,35.712767,corridor_junction,2,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00055,104.502515,29.748061,corridor_junction,4,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00056,104.729532,37.530295,corridor_junction,2,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00057,105.126783,37.52506,corridor_junction,2,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00058,106.012934,31.453485,corridor_endpoint,1,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00059,106.014441,31.448393,corridor_endpoint,1,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00060,106.019913,31.459386,corridor_junction,3,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00061,106.051444,37.700058,corridor_junction,2,data/油气管道源数据矢量化/oil_pipeline.shp,static_source_layer,,,,,
node_00062,106.239355,38.571071,corridor_junction,6,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00063,106.537367,26.118971,corridor_junction,8,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00064,106.538319,26.119685,corridor_junction,2,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00065,106.595426,26.130392,corridor_junction,4,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00066,106.802026,30.844517,corridor_junction,3,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00067,107.456278,36.34091,corridor_junction,3,data/油气管道源数据矢量化/oil_pipeline.shp,static_source_layer,,,,,
node_00068,107.564977,31.338557,corridor_junction,2,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00069,107.680079,29.781437,corridor_junction,5,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00070,107.844606,37.323152,corridor_junction,2,data/油气管道源数据矢量化/oil_pipeline.shp,static_source_layer,,,,,
node_00071,107.859649,30.478144,corridor_endpoint,1,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00072,107.946008,25.11008,corridor_junction,2,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00073,107.965043,25.094851,corridor_endpoint,1,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00074,108.178238,19.689506,corridor_junction,2,data/油气管道源数据矢量化/oil_pipeline.shp,static_source_layer,,,,,
node_00075,108.240363,30.889314,corridor_junction,4,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00076,108.300722,34.430167,corridor_junction,9,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00077,108.308257,21.626549,corridor_endpoint,1,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00078,108.344742,21.660956,corridor_junction,2,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00079,108.359043,22.84093,corridor_junction,6,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00080,109.049062,18.06448,corridor_endpoint,1,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00081,109.050966,18.067018,corridor_junction,2,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00082,109.092947,21.419552,corridor_endpoint,1,data/油气管道源数据矢量化/oil_pipeline.shp,static_source_layer,,,,,
node_00083,109.152865,21.501703,corridor_endpoint,1,data/油气管道源数据矢量化/oil_pipeline.shp,static_source_layer,,,,,
node_00084,109.156614,21.499152,corridor_junction,2,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00085,109.306547,36.809188,corridor_junction,5,data/油气管道源数据矢量化/oil_pipeline.shp,static_source_layer,,,,,
node_00086,109.564041,23.096104,corridor_junction,4,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00087,109.582062,18.414736,corridor_endpoint,1,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00088,109.84201,38.465598,corridor_endpoint,1,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00089,109.845222,38.462028,corridor_junction,3,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00090,109.857714,40.353406,corridor_junction,4,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00091,109.859626,38.505747,corridor_endpoint,1,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00092,109.871047,38.494326,corridor_endpoint,1,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00093,109.871365,39.517145,corridor_junction,6,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00094,109.899886,38.492359,corridor_junction,2,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00095,109.968589,27.533625,corridor_junction,2,data/油气管道源数据矢量化/oil_pipeline.shp,static_source_layer,,,,,
node_00096,110.197017,25.234304,corridor_junction,3,data/油气管道源数据矢量化/oil_pipeline.shp,static_source_layer,,,,,
node_00097,110.241648,25.272026,corridor_endpoint,1,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00098,110.25307,25.233954,corridor_junction,2,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00099,110.276864,20.042922,corridor_junction,6,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00100,110.353066,21.211726,corridor_junction,2,data/油气管道源数据矢量化/oil_pipeline.shp,static_source_layer,,,,,
node_00101,110.37976,21.274881,corridor_endpoint,1,data/油气管道源数据矢量化/oil_pipeline.shp,static_source_layer,,,,,
node_00102,110.424449,21.897011,corridor_junction,2,data/油气管道源数据矢量化/oil_pipeline.shp,static_source_layer,,,,,
node_00103,110.927988,21.655595,corridor_junction,3,data/油气管道源数据矢量化/oil_pipeline.shp,static_source_layer,,,,,
node_00104,111.159256,37.877316,corridor_junction,7,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00105,111.625094,40.898054,corridor_junction,5,data/油气管道源数据矢量化/oil_pipeline.shp,static_source_layer,,,,,
node_00106,112.195368,30.38544,corridor_junction,3,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00107,112.200127,30.402572,corridor_junction,2,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00108,112.359686,30.386772,corridor_junction,3,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00109,112.469538,33.012008,corridor_junction,5,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00110,112.590081,30.343894,corridor_endpoint,1,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00111,112.695475,30.250604,corridor_endpoint,1,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00112,112.822967,33.528985,corridor_junction,4,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00113,112.867621,21.046103,corridor_endpoint,1,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00114,112.870001,21.046103,corridor_junction,2,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00115,112.891416,26.794881,corridor_junction,4,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00116,112.904765,31.974253,corridor_junction,2,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00117,112.905019,31.973397,corridor_junction,2,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00118,112.931098,28.217275,corridor_junction,3,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00119,113.068155,27.813718,corridor_junction,2,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00120,113.109748,27.811656,corridor_junction,2,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00121,113.18662,23.747791,corridor_junction,2,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00122,113.189428,29.26968,corridor_junction,4,data/油气管道源数据矢量化/oil_pipeline.shp,static_source_layer,,,,,
node_00123,113.231314,39.807614,corridor_junction,2,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00124,113.232948,39.808994,corridor_endpoint,1,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00125,113.233852,39.810469,corridor_endpoint,1,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00126,113.354007,23.175958,corridor_junction,5,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00127,113.357497,30.402572,corridor_endpoint,1,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00128,113.359329,40.193792,corridor_junction,2,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00129,113.360281,40.193507,corridor_endpoint,1,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00130,113.367895,40.201121,corridor_junction,2,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00131,113.369037,40.201216,corridor_junction,3,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00132,113.583744,24.850195,corridor_junction,4,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00133,113.785514,27.735513,corridor_junction,2,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00134,113.91211,30.36293,corridor_junction,5,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00135,113.983589,22.311024,corridor_junction,4,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00136,114.012388,34.414629,corridor_junction,3,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00137,114.026022,34.404627,corridor_endpoint,1,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
node_00138,114.090744,34.48077,corridor_junction,3,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,,,,,
