storage_hub_id,storage_hub_index,storage_type,province,storage_dsa_mt,storage_eor_mt,storage_all_mt,injectivity_dsa_avg_mtpa,injectivity_eor_avg_mtpa,pixel_count,offshore,longitude,latitude,source,year_basis
S001,1,dsa,,356039.61783885956,21.605207204818726,356061.2230460644,98122.98390007019,271.73379015922546,8191,True,124.9161,28.978,封存汇图层-Fan,Fan_raster_5km
S002,2,dsa,,269771.7851946354,178.65542447566986,269950.44061911106,205915.33293002844,35.967275843024254,10050,True,113.1052,19.3611,封存汇图层-Fan,Fan_raster_5km
S003,3,dsa,,254995.3517217636,0.0,254995.3517217636,37824.382871970534,0.0,7205,False,84.0895,39.878,封存汇图层-Fan,Fan_raster_5km
S004,4,dsa,,166924.51876938343,1656.9842747370712,168581.5030441205,2830.342925393954,562.8931067585945,6880,False,125.293,46.4711,封存汇图层-Fan,Fan_raster_5km
S005,5,dsa,,156687.57989120483,3327.408933442086,160014.98882464692,43609.63070011139,12450.585302829742,2755,True,119.4515,38.7978,封存汇图层-Fan,Fan_raster_5km
S006,6,dsa,,143203.43833732605,68.10133441723883,143271.5396717433,17324.692983739078,3210.6021842956543,2419,False,118.5939,32.6443,封存汇图层-Fan,Fan_raster_5km
S007,7,dsa,,76781.36996459961,211.97491237521172,76993.34487697482,36126.96185553074,2998.3407917022705,1493,True,109.5257,20.3398,封存汇图层-Fan,Fan_raster_5km
S008,8,dsa,,57529.94723701477,196.5286766886711,57726.47591370344,15822.750703334808,1411.0765042304993,751,False,116.1741,38.7676,封存汇图层-Fan,Fan_raster_5km
S009,9,dsa,,47580.681423187256,0.0,47580.681423187256,6184.107358932495,0.0,690,False,115.0295,33.4334,封存汇图层-Fan,Fan_raster_5km
S010,10,dsa,,43997.81009578705,135.97532653063536,44133.785422317684,10841.898184657097,399.81262493133545,1060,False,90.7918,43.0487,封存汇图层-Fan,Fan_raster_5km
S011,11,dsa,,41735.55007648468,0.0,41735.55007648468,24399.57435321808,0.0,2587,False,93.3294,37.5934,封存汇图层-Fan,Fan_raster_5km
S012,12,dsa,,37207.92123627663,13.893025398254395,37221.81426167488,89.49377392185852,0.043429501354694366,7860,False,105.8549,30.5153,封存汇图层-Fan,Fan_raster_5km
S013,13,dsa,,36129.91768717766,495.51649260148406,36625.43417977914,2146.0169560313225,118.5612735748291,2712,False,86.7068,45.1448,封存汇图层-Fan,Fan_raster_5km
S014,14,dsa,,28549.55069923401,35.83058524131775,28585.381284475327,2180.2613825798035,40.1188383102417,411,False,114.971,44.5434,封存汇图层-Fan,Fan_raster_5km
S015,15,dsa,,21678.832732200623,0.0,21678.832732200623,4180.259379982948,0.0,283,True,123.5795,38.6369,封存汇图层-Fan,Fan_raster_5km
S016,16,dsa,,19589.584608078003,0.0,19589.584608078003,104.57524466328323,0.0,1784,False,104.4555,40.8709,封存汇图层-Fan,Fan_raster_5km
S017,17,dsa,,17671.274443745613,0.0,17671.274443745613,52.394529316574335,0.0,806,True,122.7215,35.5668,封存汇图层-Fan,Fan_raster_5km
S018,18,dsa,,16699.858610630035,0.0,16699.858610630035,9609.370627880096,0.0,192,False,131.3162,47.2219,封存汇图层-Fan,Fan_raster_5km
S019,19,dsa,,16564.247387051582,40.54666584543884,16604.79405289702,4354.853436045349,644.4885025024414,307,False,112.6552,32.6692,封存汇图层-Fan,Fan_raster_5km
S020,20,dsa,,15961.414804458618,0.0,15961.414804458618,1283.7212598323822,0.0,354,False,111.7645,42.7137,封存汇图层-Fan,Fan_raster_5km
S021,21,dsa,,13734.407603770494,823.8267120346427,14558.234315805137,554.6325843848754,103.53395627625287,5578,False,107.9666,37.6034,封存汇图层-Fan,Fan_raster_5km
S022,22,dsa,,12474.537512779236,0.0,12474.537512779236,54.43368785083294,0.0,460,False,112.7198,36.9409,封存汇图层-Fan,Fan_raster_5km
S023,23,dsa,,11478.864406585693,0.0,11478.864406585693,3038.564731836319,0.0,490,False,81.7325,36.5368,封存汇图层-Fan,Fan_raster_5km
S024,24,dsa,,10902.43142747879,0.0,10902.43142747879,4574.243068695068,0.0,195,False,82.0925,41.9938,封存汇图层-Fan,Fan_raster_5km
S025,25,dsa,,6984.811875343323,0.0,6984.811875343323,37.286951046437025,0.0,847,False,100.8123,41.5034,封存汇图层-Fan,Fan_raster_5km
S026,26,dsa,,5118.765743434429,25.620000345632434,5144.385743780062,53.00507413549349,90.39415693283081,710,False,112.4539,30.3336,封存汇图层-Fan,Fan_raster_5km
S027,27,dsa,,4374.2714403271675,0.0,4374.2714403271675,12.497158108279109,0.0,184,True,122.1384,33.6558,封存汇图层-Fan,Fan_raster_5km
S028,28,dsa,,3326.0998516082764,0.0,3326.0998516082764,880.4495301246643,0.0,124,False,84.4855,37.4511,封存汇图层-Fan,Fan_raster_5km
S029,29,dsa,,361.73298740386963,0.0,361.73298740386963,135.33824396133423,0.0,32,False,93.3167,42.4045,封存汇图层-Fan,Fan_raster_5km
S030,30,eor,,0.0,637.7168017029762,637.7168017029762,0.0,75.01538063585758,61,True,115.3057,21.1915,封存汇图层-Fan,Fan_raster_5km
S031,31,eor,,73.9141092300415,91.06118968129158,164.97529891133308,0.503002000041306,5.1767964363098145,27,False,117.4594,48.1257,封存汇图层-Fan,Fan_raster_5km
