water_node_id,planning_year,scenario_family,scenario_id,hydrology_model,gcm,ssp,basin_code,available_water_m3_per_year,dry_season_water_m3_per_year,local_runoff_m3_per_year,bias_factor,proxy_type,unit,source,year_basis
WC_0036_0019_K,2030,high_pressure,watergap2-2e|ukesm1-0-ll|ssp370,watergap2-2e,ukesm1-0-ll,ssp370,K,97451626.07417703,36150670.60447706,101548564.55275409,0.961,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2040,baseline,cwatm|gfdl-esm4|ssp126,cwatm,gfdl-esm4,ssp126,K,189199462.91328225,42420469.48662157,169293825.81699604,1.1168,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2040,baseline,cwatm|ipsl-cm6a-lr|ssp126,cwatm,ipsl-cm6a-lr,ssp126,K,217173017.61269858,55316448.226649076,194189548.52493283,1.1168,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2040,baseline,cwatm|mpi-esm1-2-hr|ssp126,cwatm,mpi-esm1-2-hr,ssp126,K,181467856.0280221,45866912.00840192,161384888.84808797,1.1241,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2040,baseline,cwatm|mri-esm2-0|ssp126,cwatm,mri-esm2-0,ssp126,K,205381732.38840204,49342443.35966508,179069147.02225986,1.1469,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2040,baseline,cwatm|ukesm1-0-ll|ssp126,cwatm,ukesm1-0-ll,ssp126,K,149866662.27280137,36726578.51490964,132558589.19229032,1.1298,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2040,baseline,watergap2-2e|gfdl-esm4|ssp126,watergap2-2e,gfdl-esm4,ssp126,K,117498092.12339139,43410918.70295187,122237191.59270808,0.9623,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2040,baseline,watergap2-2e|ipsl-cm6a-lr|ssp126,watergap2-2e,ipsl-cm6a-lr,ssp126,K,160356547.95627853,67992596.86956914,163907973.6734324,0.98,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2040,baseline,watergap2-2e|mpi-esm1-2-hr|ssp126,watergap2-2e,mpi-esm1-2-hr,ssp126,K,125134577.84066194,48161001.74980828,128357682.10207519,0.9765,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2040,baseline,watergap2-2e|mri-esm2-0|ssp126,watergap2-2e,mri-esm2-0,ssp126,K,159105105.95798406,61084305.651705,158806536.2935012,1.0035,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2040,baseline,watergap2-2e|ukesm1-0-ll|ssp126,watergap2-2e,ukesm1-0-ll,ssp126,K,96455920.07949342,37253125.760122195,100530910.73175143,0.961,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2040,high_pressure,cwatm|gfdl-esm4|ssp370,cwatm,gfdl-esm4,ssp370,K,210443767.0486009,45225986.733186476,188301425.13713816,1.1168,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2040,high_pressure,cwatm|ipsl-cm6a-lr|ssp370,cwatm,ipsl-cm6a-lr,ssp370,K,180043081.90909597,45604162.96179183,161106963.5674811,1.1168,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2040,high_pressure,cwatm|mpi-esm1-2-hr|ssp370,cwatm,mpi-esm1-2-hr,ssp370,K,233952295.06884316,48259375.79000318,208133357.43219462,1.1241,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2040,high_pressure,cwatm|mri-esm2-0|ssp370,cwatm,mri-esm2-0,ssp370,K,221781680.42775792,52867523.94209435,193224723.68376702,1.1469,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2040,high_pressure,cwatm|ukesm1-0-ll|ssp370,cwatm,ukesm1-0-ll,ssp370,K,157509172.27815983,38451276.88010616,139309530.41271067,1.1298,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2040,high_pressure,watergap2-2e|gfdl-esm4|ssp370,watergap2-2e,gfdl-esm4,ssp370,K,145431647.56300002,51276388.25640287,151341665.5117813,0.9623,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2040,high_pressure,watergap2-2e|ipsl-cm6a-lr|ssp370,watergap2-2e,ipsl-cm6a-lr,ssp370,K,130691055.91098976,50860604.041043244,133657339.56710002,0.98,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2040,high_pressure,watergap2-2e|mpi-esm1-2-hr|ssp370,watergap2-2e,mpi-esm1-2-hr,ssp370,K,153167715.73514065,59360104.54755848,157164735.53353828,0.9765,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2040,high_pressure,watergap2-2e|mri-esm2-0|ssp370,watergap2-2e,mri-esm2-0,ssp370,K,158814042.7702309,58183244.006768554,158424724.32634816,1.0035,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2040,high_pressure,watergap2-2e|ukesm1-0-ll|ssp370,watergap2-2e,ukesm1-0-ll,ssp370,K,112106651.08268502,42760686.98982643,116807041.45549862,0.961,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2050,baseline,cwatm|gfdl-esm4|ssp126,cwatm,gfdl-esm4,ssp126,K,260821128.15458146,60647852.659005485,233383031.71719998,1.1168,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2050,baseline,cwatm|ipsl-cm6a-lr|ssp126,cwatm,ipsl-cm6a-lr,ssp126,K,185682794.6797985,51196666.068026364,166025542.4116434,1.1168,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2050,baseline,cwatm|mpi-esm1-2-hr|ssp126,cwatm,mpi-esm1-2-hr,ssp126,K,177412239.7962328,41764681.53919155,157724937.29312557,1.1241,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2050,baseline,cwatm|mri-esm2-0|ssp126,cwatm,mri-esm2-0,ssp126,K,214511172.2421418,53171479.11561406,186887728.38257796,1.1469,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2050,baseline,cwatm|ukesm1-0-ll|ssp126,cwatm,ukesm1-0-ll,ssp126,K,184360942.94473565,47932912.384985864,163068028.27105454,1.1298,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2050,baseline,watergap2-2e|gfdl-esm4|ssp126,watergap2-2e,gfdl-esm4,ssp126,K,179926459.21892253,70006819.4385751,187184858.6600686,0.9623,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2050,baseline,watergap2-2e|ipsl-cm6a-lr|ssp126,watergap2-2e,ipsl-cm6a-lr,ssp126,K,138172688.2093135,55666822.15674013,141230142.42293093,0.98,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2050,baseline,watergap2-2e|mpi-esm1-2-hr|ssp126,watergap2-2e,mpi-esm1-2-hr,ssp126,K,112082760.17022704,42355719.86602503,114945156.2692637,0.9765,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2050,baseline,watergap2-2e|mri-esm2-0|ssp126,watergap2-2e,mri-esm2-0,ssp126,K,132855271.95284186,52914475.29009126,132507622.73130064,1.0035,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2050,baseline,watergap2-2e|ukesm1-0-ll|ssp126,watergap2-2e,ukesm1-0-ll,ssp126,K,125834706.69059867,50513667.993406326,131094020.67906141,0.961,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2050,high_pressure,cwatm|gfdl-esm4|ssp370,cwatm,gfdl-esm4,ssp370,K,207412738.1594524,48580524.2224277,185618890.35280228,1.1168,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2050,high_pressure,cwatm|ipsl-cm6a-lr|ssp370,cwatm,ipsl-cm6a-lr,ssp370,K,227572282.7538474,60194046.30801497,203644204.1471519,1.1168,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2050,high_pressure,cwatm|mpi-esm1-2-hr|ssp370,cwatm,mpi-esm1-2-hr,ssp370,K,175439974.88110593,42678987.10314368,156004397.26304027,1.1241,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2050,high_pressure,cwatm|mri-esm2-0|ssp370,cwatm,mri-esm2-0,ssp370,K,190251441.2153797,45100996.967194475,165856135.50254372,1.1469,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2050,high_pressure,cwatm|ukesm1-0-ll|ssp370,cwatm,ukesm1-0-ll,ssp370,K,175261820.3729844,48361976.00537682,155002629.25366136,1.1298,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2050,high_pressure,watergap2-2e|gfdl-esm4|ssp370,watergap2-2e,gfdl-esm4,ssp370,K,149935699.90890458,56735554.05839584,155985102.31090796,0.9623,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2050,high_pressure,watergap2-2e|ipsl-cm6a-lr|ssp370,watergap2-2e,ipsl-cm6a-lr,ssp370,K,176861406.62731102,76604806.66496988,180806813.19794047,0.98,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2050,high_pressure,watergap2-2e|mpi-esm1-2-hr|ssp370,watergap2-2e,mpi-esm1-2-hr,ssp370,K,92369410.68560243,35343768.96753351,94725214.86275505,0.9765,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2050,high_pressure,watergap2-2e|mri-esm2-0|ssp370,watergap2-2e,mri-esm2-0,ssp370,K,123599518.10197534,44561736.05794662,123334322.24918664,1.0035,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2050,high_pressure,watergap2-2e|ukesm1-0-ll|ssp370,watergap2-2e,ukesm1-0-ll,ssp370,K,123802668.48810884,49931379.55966388,128968439.07934712,0.961,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2060,baseline,cwatm|gfdl-esm4|ssp126,cwatm,gfdl-esm4,ssp126,K,222658033.24212858,51127132.314752124,199216116.8056917,1.1168,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2060,baseline,cwatm|ipsl-cm6a-lr|ssp126,cwatm,ipsl-cm6a-lr,ssp126,K,181839505.29518405,53924105.0804085,162637782.34956583,1.1168,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2060,baseline,cwatm|mpi-esm1-2-hr|ssp126,cwatm,mpi-esm1-2-hr,ssp126,K,172120800.63271067,44039748.74625546,152991804.42640343,1.1241,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2060,baseline,cwatm|mri-esm2-0|ssp126,cwatm,mri-esm2-0,ssp126,K,206532818.84130478,48043542.167924255,179989368.2859521,1.1469,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2060,baseline,cwatm|ukesm1-0-ll|ssp126,cwatm,ukesm1-0-ll,ssp126,K,194983502.59305,46234815.913282715,172445450.54010624,1.1298,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2060,baseline,watergap2-2e|gfdl-esm4|ssp126,watergap2-2e,gfdl-esm4,ssp126,K,151856297.05513158,53531523.81800012,157983233.77650237,0.9623,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2060,baseline,watergap2-2e|ipsl-cm6a-lr|ssp126,watergap2-2e,ipsl-cm6a-lr,ssp126,K,125247589.26718524,52884039.665532954,128016944.83664514,0.98,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2060,baseline,watergap2-2e|mpi-esm1-2-hr|ssp126,watergap2-2e,mpi-esm1-2-hr,ssp126,K,113361720.5355289,44108906.850665286,116243710.16904071,0.9765,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2060,baseline,watergap2-2e|mri-esm2-0|ssp126,watergap2-2e,mri-esm2-0,ssp126,K,124871247.05275571,45421290.25495739,124578380.98196399,1.0035,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2060,baseline,watergap2-2e|ukesm1-0-ll|ssp126,watergap2-2e,ukesm1-0-ll,ssp126,K,147886230.75405443,56543527.56997253,154061978.06126514,0.961,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2060,high_pressure,cwatm|gfdl-esm4|ssp370,cwatm,gfdl-esm4,ssp370,K,186606107.69950336,47927727.954696745,167030651.82883033,1.1168,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2060,high_pressure,cwatm|ipsl-cm6a-lr|ssp370,cwatm,ipsl-cm6a-lr,ssp370,K,227670032.7473168,67277031.37730618,203653626.0722523,1.1168,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2060,high_pressure,cwatm|mpi-esm1-2-hr|ssp370,cwatm,mpi-esm1-2-hr,ssp370,K,179589751.2007571,47411603.180651344,159665248.60447407,1.1241,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2060,high_pressure,cwatm|mri-esm2-0|ssp370,cwatm,mri-esm2-0,ssp370,K,170035144.7606162,41254328.454873085,148200822.07977936,1.1469,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2060,high_pressure,cwatm|ukesm1-0-ll|ssp370,cwatm,ukesm1-0-ll,ssp370,K,153145232.89984724,43749538.89690125,135492268.61916122,1.1298,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2060,high_pressure,watergap2-2e|gfdl-esm4|ssp370,watergap2-2e,gfdl-esm4,ssp370,K,143133734.85614175,54383488.861928046,148962942.2222847,0.9623,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2060,high_pressure,watergap2-2e|ipsl-cm6a-lr|ssp370,watergap2-2e,ipsl-cm6a-lr,ssp370,K,178446604.89243296,78033941.50235969,182438891.66177124,0.98,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2060,high_pressure,watergap2-2e|mpi-esm1-2-hr|ssp370,watergap2-2e,mpi-esm1-2-hr,ssp370,K,126562947.07523689,52266022.419564016,129783667.29455762,0.9765,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2060,high_pressure,watergap2-2e|mri-esm2-0|ssp370,watergap2-2e,mri-esm2-0,ssp370,K,124338208.16864781,46366433.408769585,124091542.47269674,1.0035,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0036_0019_K,2060,high_pressure,watergap2-2e|ukesm1-0-ll|ssp370,watergap2-2e,ukesm1-0-ll,ssp370,K,120135383.49041659,49693508.716888756,125168376.41556793,0.961,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0037_0018_K,2030,baseline,cwatm|gfdl-esm4|ssp126,cwatm,gfdl-esm4,ssp126,K,484428576.1028036,106903272.59707245,433487116.950171,1.1168,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0037_0018_K,2030,baseline,cwatm|ipsl-cm6a-lr|ssp126,cwatm,ipsl-cm6a-lr,ssp126,K,426826460.04452753,111341686.63309395,381730694.0424018,1.1168,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0037_0018_K,2030,baseline,cwatm|mpi-esm1-2-hr|ssp126,cwatm,mpi-esm1-2-hr,ssp126,K,509513758.89681745,124380220.77694207,452956324.2450441,1.1241,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0037_0018_K,2030,baseline,cwatm|mri-esm2-0|ssp126,cwatm,mri-esm2-0,ssp126,K,486724903.5188973,110016663.64606959,424152567.7440748,1.1469,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0037_0018_K,2030,baseline,cwatm|ukesm1-0-ll|ssp126,cwatm,ukesm1-0-ll,ssp126,K,404651836.91859955,92073108.38986145,357952227.5446999,1.1298,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0037_0018_K,2030,baseline,watergap2-2e|gfdl-esm4|ssp126,watergap2-2e,gfdl-esm4,ssp126,K,364085842.90077513,130723797.3563568,378903636.7154293,0.9623,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0037_0018_K,2030,baseline,watergap2-2e|ipsl-cm6a-lr|ssp126,watergap2-2e,ipsl-cm6a-lr,ssp126,K,409108481.55178064,158932524.12014654,417829081.057055,0.98,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0037_0018_K,2030,baseline,watergap2-2e|mpi-esm1-2-hr|ssp126,watergap2-2e,mpi-esm1-2-hr,ssp126,K,326225609.735515,130778829.34060457,334583661.1758451,0.9765,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0037_0018_K,2030,baseline,watergap2-2e|mri-esm2-0|ssp126,watergap2-2e,mri-esm2-0,ssp126,K,367874884.4632676,131655375.76446316,367113294.4961723,1.0035,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0037_0018_K,2030,baseline,watergap2-2e|ukesm1-0-ll|ssp126,watergap2-2e,ukesm1-0-ll,ssp126,K,259734072.0353039,99117466.67221206,270739591.2038149,0.961,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0037_0018_K,2030,high_pressure,cwatm|gfdl-esm4|ssp370,cwatm,gfdl-esm4,ssp370,K,473129082.1255541,98864383.1561299,423435763.91445625,1.1168,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0037_0018_K,2030,high_pressure,cwatm|ipsl-cm6a-lr|ssp370,cwatm,ipsl-cm6a-lr,ssp370,K,557102370.9617273,139077976.50673822,498369090.80339396,1.1168,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0037_0018_K,2030,high_pressure,cwatm|mpi-esm1-2-hr|ssp370,cwatm,mpi-esm1-2-hr,ssp370,K,406524383.40400344,106465921.74026355,361472923.16886014,1.1241,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
WC_0037_0018_K,2030,high_pressure,cwatm|mri-esm2-0|ssp370,cwatm,mri-esm2-0,ssp370,K,456914521.4455975,112137811.1650939,398234562.2812633,1.1469,basin_budgeted_bias_corrected_local_runoff,m3/yr,data/water/*_qtot_*.nc,decadal window
