year,resource_type,region,province_name,competition_scope,used,available,unit,utilization
2030,biomass,B00001,安徽省,shared_biomass_node,0.0,903765.8490661668,GJ/yr,0.0
2030,biomass,B00002,安徽省,shared_biomass_node,0.0,2134148.6429701047,GJ/yr,0.0
2030,biomass,B00003,安徽省,shared_biomass_node,0.0,1681468.818530691,GJ/yr,0.0
2030,biomass,B00004,安徽省,shared_biomass_node,0.0,5777161.200365602,GJ/yr,0.0
2030,biomass,B00005,安徽省,shared_biomass_node,0.0,4104504.144672019,GJ/yr,0.0
2030,biomass,B00006,安徽省,shared_biomass_node,0.0,824370.2307086749,GJ/yr,0.0
2030,biomass,B00007,安徽省,shared_biomass_node,0.0,348749.03995215445,GJ/yr,0.0
2030,biomass,B00008,安徽省,shared_biomass_node,0.0,12400.000066101124,GJ/yr,0.0
2030,biomass,B00009,安徽省,shared_biomass_node,0.0,7516739.503307318,GJ/yr,0.0
2030,biomass,B00010,安徽省,shared_biomass_node,0.0,10574468.018903308,GJ/yr,0.0
2030,biomass,B00011,安徽省,shared_biomass_node,0.0,9824777.396960292,GJ/yr,0.0
2030,biomass,B00012,安徽省,shared_biomass_node,0.0,6705392.239025291,GJ/yr,0.0
2030,biomass,B00013,安徽省,shared_biomass_node,0.0,1041584.6587281994,GJ/yr,0.0
2030,biomass,B00014,安徽省,shared_biomass_node,0.0,510487.5199531124,GJ/yr,0.0
2030,biomass,B00015,安徽省,shared_biomass_node,0.0,3739650.7642038935,GJ/yr,0.0
2030,biomass,B00016,安徽省,shared_biomass_node,0.0,3804843.877298812,GJ/yr,0.0
2030,biomass,B00017,安徽省,shared_biomass_node,0.0,71218.39058475396,GJ/yr,0.0
2030,biomass,B00018,安徽省,shared_biomass_node,0.0,1969354.540634888,GJ/yr,0.0
2030,biomass,B00019,安徽省,shared_biomass_node,0.0,9836750.392745312,GJ/yr,0.0
2030,biomass,B00020,安徽省,shared_biomass_node,0.0,10134188.918916894,GJ/yr,0.0
2030,biomass,B00021,安徽省,shared_biomass_node,0.0,10250597.91876595,GJ/yr,0.0
2030,biomass,B00022,安徽省,shared_biomass_node,0.0,10542507.672622915,GJ/yr,0.0
2030,biomass,B00023,安徽省,shared_biomass_node,0.0,7478586.066329826,GJ/yr,0.0
2030,biomass,B00024,安徽省,shared_biomass_node,0.0,6537519.773692277,GJ/yr,0.0
2030,biomass,B00025,安徽省,shared_biomass_node,0.0,1235311.3819264723,GJ/yr,0.0
2030,biomass,B00026,安徽省,shared_biomass_node,0.0,1580238.9372218202,GJ/yr,0.0
2030,biomass,B00027,安徽省,shared_biomass_node,0.0,4207846.813120161,GJ/yr,0.0
2030,biomass,B00028,安徽省,shared_biomass_node,0.0,2641847.031133146,GJ/yr,0.0
2030,biomass,B00029,安徽省,shared_biomass_node,0.0,2169730.344760441,GJ/yr,0.0
2030,biomass,B00030,安徽省,shared_biomass_node,0.0,3282390.7437792714,GJ/yr,0.0
2030,biomass,B00031,安徽省,shared_biomass_node,0.0,3784139.571689892,GJ/yr,0.0
2030,biomass,B00032,安徽省,shared_biomass_node,0.0,2627494.69066702,GJ/yr,0.0
2030,biomass,B00033,安徽省,shared_biomass_node,0.0,2151258.021872204,GJ/yr,0.0
2030,biomass,B00034,安徽省,shared_biomass_node,0.0,3166617.7415307155,GJ/yr,0.0
2030,biomass,B00035,安徽省,shared_biomass_node,0.0,9516728.32158118,GJ/yr,0.0
2030,biomass,B00036,安徽省,shared_biomass_node,0.0,10186202.35942292,GJ/yr,0.0
2030,biomass,B00037,安徽省,shared_biomass_node,0.0,10767929.13058346,GJ/yr,0.0
2030,biomass,B00038,安徽省,shared_biomass_node,0.0,10725710.00662394,GJ/yr,0.0
2030,biomass,B00039,安徽省,shared_biomass_node,0.0,10447458.256198648,GJ/yr,0.0
2030,biomass,B00040,安徽省,shared_biomass_node,0.0,9266479.979262771,GJ/yr,0.0
2030,biomass,B00041,安徽省,shared_biomass_node,0.0,868611.3729167207,GJ/yr,0.0
2030,biomass,B00042,安徽省,shared_biomass_node,0.0,1329517.7560472933,GJ/yr,0.0
2030,biomass,B00043,安徽省,shared_biomass_node,0.0,4490904.633772495,GJ/yr,0.0
