year,storage_hub_id,province,injectivity_mtpa,available_capacity_mt,remaining_capacity_before_mt,storage_use_mtpa,remaining_capacity_after_mt,injectivity_utilization,source,year_basis
2050,S085,,0.42,11.541983863338828,8.400000000443804,0.41999999999949367,4.200000000448867,0.9999999999987945,封存汇图层-Fan,Fan_raster_5km
2050,S086,,0.02,11.509568214416504,11.509568214416504,0.0,11.509568214416504,0.0,封存汇图层-Fan,Fan_raster_5km
2050,S087,,0.02,11.419645309448242,11.219645309449218,0.020000000000006686,11.019645309449151,1.0000000000003342,封存汇图层-Fan,Fan_raster_5km
2050,S088,,0.02,11.070439338684082,11.070439338684082,0.0,11.070439338684082,0.0,封存汇图层-Fan,Fan_raster_5km
2050,S089,,0.06,10.697455033659937,10.697455033659937,0.059999999999939296,10.097455033660545,0.9999999999989883,封存汇图层-Fan,Fan_raster_5km
2060,S001,,163.58,356039.6178388596,352768.0178388596,163.5799999999919,351132.21783885965,0.9999999999999505,封存汇图层-Fan,Fan_raster_5km
2060,S002,,200.0,269771.7851946354,265771.7851946354,200.0,263771.7851946354,1.0,封存汇图层-Fan,Fan_raster_5km
2060,S003,,144.1,254995.3517217636,252113.3517217636,144.1,250672.3517217636,1.0,封存汇图层-Fan,Fan_raster_5km
2060,S004,,136.38,166924.51876938343,164196.91876938345,136.24000000181508,162834.5187693653,0.9989734565318601,封存汇图层-Fan,Fan_raster_5km
2060,S005,,48.78,156687.57989120483,155711.9798912061,48.77999999999985,155224.17989120612,0.9999999999999969,封存汇图层-Fan,Fan_raster_5km
2060,S006,,47.2,143203.43833732605,142259.43833732605,47.2,141787.43833732605,1.0,封存汇图层-Fan,Fan_raster_5km
2060,S007,,29.0,76781.36996459961,76201.36996459961,29.0,75911.36996459961,1.0,封存汇图层-Fan,Fan_raster_5km
2060,S008,,14.0,57529.94723701477,57249.94723701477,14.0,57109.94723701477,1.0,封存汇图层-Fan,Fan_raster_5km
2060,S009,,13.8,47580.681423187256,47304.681423187256,13.8,47166.681423187256,1.0,封存汇图层-Fan,Fan_raster_5km
2060,S010,,20.76,43997.81009578705,43582.61009578705,20.760000000000005,43375.01009578705,1.0000000000000002,封存汇图层-Fan,Fan_raster_5km
2060,S011,,51.74,41735.55007648468,40700.7500764847,51.74000000000001,40183.3500764847,1.0000000000000002,封存汇图层-Fan,Fan_raster_5km
2060,S012,,89.49377392185852,37207.92123627663,35418.045757839565,89.49377392183365,34523.10801862123,0.9999999999997221,封存汇图层-Fan,Fan_raster_5km
2060,S013,,53.84,36129.91768717766,35053.117687177655,53.84000000000002,34514.717687177654,1.0000000000000002,封存汇图层-Fan,Fan_raster_5km
2060,S014,,8.1,28549.55069923401,28387.55069923401,8.1,28306.55069923401,1.0,封存汇图层-Fan,Fan_raster_5km
2060,S015,,5.66,21678.832732200623,21565.632732200625,5.660000000000001,21509.032732200627,1.0000000000000002,封存汇图层-Fan,Fan_raster_5km
2060,S016,,35.68,19589.584608078003,18875.984608078074,35.68,18519.184608078074,1.0,封存汇图层-Fan,Fan_raster_5km
2060,S017,,16.12,17671.274443745613,17348.87444374561,16.120000000000005,17187.67444374561,1.0000000000000002,封存汇图层-Fan,Fan_raster_5km
2060,S018,,3.84,16699.858610630035,16623.058610630047,3.8399999999993,16584.658610630053,0.9999999999998177,封存汇图层-Fan,Fan_raster_5km
2060,S019,,5.86,16564.247387051582,16447.047387051585,5.860000000000001,16388.447387051587,1.0000000000000002,封存汇图层-Fan,Fan_raster_5km
2060,S020,,110.86,13734.407603770494,11517.207603770494,110.86000000000001,10408.607603770493,1.0000000000000002,封存汇图层-Fan,Fan_raster_5km
2060,S021,,9.2,12474.537512779236,12290.537512779236,9.2,12198.537512779236,1.0,封存汇图层-Fan,Fan_raster_5km
2060,S022,,9.8,11478.864406585692,11282.864406585692,9.8,11184.864406585692,1.0,封存汇图层-Fan,Fan_raster_5km
2060,S023,,4.94,11214.92970085144,11116.129700851441,4.940000000000001,11066.729700851442,1.0000000000000002,封存汇图层-Fan,Fan_raster_5km
2060,S024,,3.9,10902.43142747879,10824.43142747879,3.9,10785.43142747879,1.0,封存汇图层-Fan,Fan_raster_5km
2060,S025,,16.94,6984.811875343323,6650.083181513254,16.940000000000005,6480.683181513255,1.0000000000000002,封存汇图层-Fan,Fan_raster_5km
2060,S026,,13.84,5118.765743434429,4844.651703467041,13.840000000000003,4706.251703467042,1.0000000000000002,封存汇图层-Fan,Fan_raster_5km
2060,S027,,2.14,4746.485103607178,4703.685103607185,2.1400000000000006,4682.285103607185,1.0000000000000002,封存汇图层-Fan,Fan_raster_5km
2060,S028,,3.68,4374.271440327168,4300.671440327168,3.680000000000001,4263.871440327168,1.0000000000000002,封存汇图层-Fan,Fan_raster_5km
2060,S029,,2.48,3326.0998516082764,3276.499851608276,2.4800000000000004,3251.699851608276,1.0000000000000002,封存汇图层-Fan,Fan_raster_5km
2060,S030,,0.64,361.7329874038696,348.9329874038695,0.6400000000000001,342.5329874038695,1.0000000000000002,封存汇图层-Fan,Fan_raster_5km
2060,S031,,0.44,73.9141092300415,73.9141092300415,0.0,73.9141092300415,0.0,封存汇图层-Fan,Fan_raster_5km
2060,S032,,6.32,3327.408933442086,3201.0089334420854,6.320000000000002,3137.8089334420856,1.0000000000000002,封存汇图层-Fan,Fan_raster_5km
2060,S033,,1.8,816.3722261786461,780.3722261786461,1.8,762.3722261786461,1.0,封存汇图层-Fan,Fan_raster_5km
2060,S034,,0.02,612.261962890625,612.061962890645,0.020000000000006686,611.8619628906449,1.0000000000003342,封存汇图层-Fan,Fan_raster_5km
