year,plant_id,province_name,capacity_mw,centroid_longitude,centroid_latitude,retirement_year,dominant_cooling,annual_generation_mwh,baseline_emissions_mt,share_unabated,share_retire,share_ccs,share_biomass,share_beccs,share_ammonia,dominant_pathway,captured_mt,biomass_use_gj,ammonia_use_kg,water_use_m3,air_cooled_share,already_air_share,biomass_blend_level,ammonia_blend_level,min_distance_to_storage_km
2030,P0011,Guangdong,8530.0,113.01274548571428,22.019859071428574,2046,once-through,41214401.0,33.79580882,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,7579328.343900001,0.0,0.0,0.0,0.0,247.526
2030,P0012,Liaoning,5600.0,123.77717060769234,42.46554086923077,2042,recirculating,17363920.0,14.238414399999998,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,27422838.856,0.0,0.0,0.0,0.0,105.646
2030,P0013,Shanxi,17570.0,113.16431352926828,40.1414594,2047,recirculating,81340315.0,66.69905829999999,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,72100055.21599999,0.0,0.4917,0.0,0.0,309.018
2030,P0014,Guangdong,2460.0,112.024739125,22.974058575,2049,recirculating,11885982.0,9.74650524,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,12525447.831600001,0.0,0.0,0.0,0.0,411.602
2030,P0015,Hunan,2530.0,113.088394,26.08946423333333,2044,once-through,9884457.0,8.10525474,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,14061628.5282,0.0,0.0,0.0,0.0,538.938
2030,P0016,Hubei,8480.0,113.8259234888889,30.660474866666668,2054,once-through,31796607.999999996,26.073218559999994,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,15132005.747199997,0.0,0.0,0.0,0.0,118.179
2030,P0017,Jiangsu,9320.0,120.33350572000002,34.11185295999999,2060,once-through,46744460.0,38.3304572,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.991
2030,P0018,Jilin,1060.0,129.9301436,42.9040347,2048,recirculating,3838684.0,3.14772088,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,7715754.839999999,0.0,0.0,0.0,0.0,455.213
2030,P0019,Hunan,3870.0,111.5750416714286,27.544403028571427,2048,once-through,15119703.0,12.39815646,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,16320207.4182,0.0,0.0,0.0,0.0,364.311
2030,P0020,Zhejiang,12197.0,121.14102242857142,30.68855748571428,2050,recirculating,67514054.1,55.36152436199999,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,12982952.60343,0.0,0.0,0.0,0.0,293.654
