s,run,inc,lb,eff,lo,hi
0.0,WA_cwatm_126_dry,13955199936155.154,13839319418901.195,0.0,-0.8303751847634626,0.8303751847634626
0.56,WA_cwatm_126_dry_wd056,13990676659159.57,13880130804803.38,0.2542186652052391,-0.5379294578022076,1.0845938499687018
0.7,WA_cwatm_126_dry_wd070,14034767484311.531,13906383790793.127,0.5701641575928499,-0.3498061338093365,1.4005393423563124
0.85,WA_cwatm_126_dry_wd085,14142162187120.18,14044419304325.68,1.339731797612181,0.6393270506958177,2.1701069823756436
0.9,WA_cwatm_126_dry_wd090,14512506687337.875,14398863762441.617,3.993541860613903,3.179200787636284,4.823917045377366
