year,edge_id,from_node_id,to_node_id,length_km,corridor_type,existing_corridor_flag,edge_class,source,year_basis,available_stock_before_mtpa,build_selected,edge_active,edge_flow_mtpa,new_capacity_mtpa,total_capacity_mtpa,num_pipe_new,num_pipe_stock
2030,edge_00042,node_00154,node_00158,130.78,gas,1,existing_main_corridor,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,20.0,0,0,0.0,0.0,20.0,0.0,1.0
2030,edge_00047,node_00110,node_00132,641.181,gas,1,existing_main_corridor,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,20.0,0,0,0.0,0.0,20.0,0.0,1.0
2030,edge_00048,node_00115,node_00097,321.812,gas,1,existing_main_corridor,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,20.0,0,0,0.0,0.0,20.0,0.0,1.0
2030,edge_00050,node_00078,node_00099,368.961,gas,1,existing_main_corridor,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,20.0,0,0,0.0,-0.0,20.0,-0.0,1.0
2030,edge_00051,node_00099,node_00080,431.357,gas,1,existing_main_corridor,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,20.0,0,0,0.0,0.0,20.0,0.0,1.0
2030,edge_00052,node_00099,node_00087,252.608,gas,1,existing_main_corridor,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,20.0,0,0,0.0,0.0,20.0,0.0,1.0
2030,edge_00053,node_00081,node_00113,538.368,gas,1,existing_main_corridor,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,20.0,0,0,0.0,0.0,20.0,0.0,1.0
2030,edge_00054,node_00114,node_00135,184.435,gas,1,existing_main_corridor,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,20.0,0,0,0.0,0.0,20.0,0.0,1.0
2030,edge_00055,node_00058,node_00064,618.605,gas,1,existing_main_corridor,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,20.0,0,0,0.0,0.0,20.0,0.0,1.0
2030,edge_00056,node_00063,node_00072,182.389,gas,1,existing_main_corridor,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,20.0,0,0,0.0,0.0,20.0,0.0,1.0
2030,edge_00057,node_00073,node_00086,278.186,gas,1,existing_main_corridor,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,20.0,0,0,0.0,0.0,20.0,0.0,1.0
2030,edge_00059,node_00040,node_00042,221.387,gas,1,existing_main_corridor,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,20.0,0,0,0.0,0.0,20.0,0.0,1.0
2030,edge_00060,node_00039,node_00038,133.159,gas,1,existing_main_corridor,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,20.0,0,0,0.0,0.0,20.0,0.0,1.0
2030,edge_00063,node_00071,node_00075,60.119,gas,1,existing_main_corridor,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,20.0,0,0,0.0,0.0,20.0,0.0,1.0
2030,edge_00067,node_00053,node_00054,260.039,gas,1,existing_main_corridor,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,20.0,0,0,0.0,-0.0,20.0,-0.0,1.0
2030,edge_00069,node_00027,node_00030,324.096,gas,1,existing_main_corridor,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,20.0,0,0,0.0,0.0,20.0,0.0,1.0
2030,edge_00070,node_00028,node_00031,983.884,gas,1,existing_main_corridor,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,20.0,0,0,0.0,0.0,20.0,0.0,1.0
2030,edge_00074,node_00107,node_00118,254.674,gas,1,existing_main_corridor,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,20.0,0,0,0.0,-0.0,20.0,-0.0,1.0
2030,edge_00075,node_00127,node_00119,294.44,gas,1,existing_main_corridor,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,20.0,0,0,0.0,0.0,20.0,0.0,1.0
2030,edge_00077,node_00120,node_00148,218.618,gas,1,existing_main_corridor,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,20.0,0,0,0.0,0.0,20.0,0.0,1.0
2030,edge_00078,node_00133,node_00142,121.569,gas,1,existing_main_corridor,data/油气管道源数据矢量化/gas_pipelines.shp,static_source_layer,20.0,0,0,0.0,-0.0,20.0,-0.0,1.0
