year,plant_id,province_name,pathway,share,annual_generation_mwh,baseline_emissions_mt,abatement_mt,captured_mt,enabled
2030,P0014,Guangdong,unabated,1.0,11885982.0,9.74650524,0.0,0.0,True
2030,P0014,Guangdong,retire,0.0,0.0,0.0,0.0,0.0,True
2030,P0014,Guangdong,ccs,0.0,0.0,0.0,0.0,0.0,True
2030,P0014,Guangdong,biomass,0.0,0.0,0.0,0.0,0.0,True
2030,P0014,Guangdong,beccs,0.0,0.0,0.0,0.0,0.0,True
2030,P0014,Guangdong,ammonia,0.0,0.0,0.0,0.0,0.0,True
2030,P0015,Hunan,unabated,1.0,9884457.0,8.10525474,0.0,0.0,True
2030,P0015,Hunan,retire,0.0,0.0,0.0,0.0,0.0,True
2030,P0015,Hunan,ccs,0.0,0.0,0.0,0.0,0.0,True
2030,P0015,Hunan,biomass,0.0,0.0,0.0,0.0,0.0,True
2030,P0015,Hunan,beccs,0.0,0.0,0.0,0.0,0.0,True
2030,P0015,Hunan,ammonia,0.0,0.0,0.0,0.0,0.0,True
2030,P0016,Hubei,unabated,1.0,31796607.999999996,26.073218559999994,0.0,0.0,True
2030,P0016,Hubei,retire,0.0,0.0,0.0,0.0,0.0,True
2030,P0016,Hubei,ccs,0.0,0.0,0.0,0.0,0.0,True
2030,P0016,Hubei,biomass,0.0,0.0,0.0,0.0,0.0,True
2030,P0016,Hubei,beccs,0.0,0.0,0.0,0.0,0.0,True
2030,P0016,Hubei,ammonia,0.0,0.0,0.0,0.0,0.0,True
2030,P0017,Jiangsu,unabated,1.0,46744460.0,38.3304572,0.0,0.0,True
2030,P0017,Jiangsu,retire,0.0,0.0,0.0,0.0,0.0,True
2030,P0017,Jiangsu,ccs,0.0,0.0,0.0,0.0,0.0,True
2030,P0017,Jiangsu,biomass,0.0,0.0,0.0,0.0,0.0,True
2030,P0017,Jiangsu,beccs,0.0,0.0,0.0,0.0,0.0,True
2030,P0017,Jiangsu,ammonia,0.0,0.0,0.0,0.0,0.0,True
2030,P0018,Jilin,unabated,1.0,3838684.0,3.14772088,0.0,0.0,True
2030,P0018,Jilin,retire,0.0,0.0,0.0,0.0,0.0,True
2030,P0018,Jilin,ccs,0.0,0.0,0.0,0.0,0.0,True
2030,P0018,Jilin,biomass,0.0,0.0,0.0,0.0,0.0,True
2030,P0018,Jilin,beccs,0.0,0.0,0.0,0.0,0.0,True
2030,P0018,Jilin,ammonia,0.0,0.0,0.0,0.0,0.0,True
2030,P0019,Hunan,unabated,1.0,15119703.0,12.39815646,0.0,0.0,True
2030,P0019,Hunan,retire,0.0,0.0,0.0,0.0,0.0,True
2030,P0019,Hunan,ccs,0.0,0.0,0.0,0.0,0.0,True
2030,P0019,Hunan,biomass,0.0,0.0,0.0,0.0,0.0,True
2030,P0019,Hunan,beccs,0.0,0.0,0.0,0.0,0.0,True
2030,P0019,Hunan,ammonia,0.0,0.0,0.0,0.0,0.0,True
2030,P0020,Zhejiang,unabated,1.0,67514054.1,55.36152436199999,0.0,0.0,True
2030,P0020,Zhejiang,retire,0.0,0.0,0.0,0.0,0.0,True
2030,P0020,Zhejiang,ccs,0.0,0.0,0.0,0.0,0.0,True
2030,P0020,Zhejiang,biomass,0.0,0.0,0.0,0.0,0.0,True
2030,P0020,Zhejiang,beccs,0.0,0.0,0.0,0.0,0.0,True
2030,P0020,Zhejiang,ammonia,0.0,0.0,0.0,0.0,0.0,True
2030,P0021,Shandong,unabated,1.0,45246412.50000001,37.102058250000006,0.0,0.0,True
2030,P0021,Shandong,retire,0.0,0.0,0.0,0.0,0.0,True
2030,P0021,Shandong,ccs,0.0,0.0,0.0,0.0,0.0,True
2030,P0021,Shandong,biomass,0.0,0.0,0.0,0.0,0.0,True
2030,P0021,Shandong,beccs,0.0,0.0,0.0,0.0,0.0,True
2030,P0021,Shandong,ammonia,0.0,0.0,0.0,0.0,0.0,True
2030,P0022,Shandong,unabated,1.0,15896209.500000002,13.034891790000001,0.0,0.0,True
2030,P0022,Shandong,retire,0.0,0.0,0.0,0.0,0.0,True
2030,P0022,Shandong,ccs,0.0,0.0,0.0,0.0,0.0,True
2030,P0022,Shandong,biomass,0.0,0.0,0.0,0.0,0.0,True
2030,P0022,Shandong,beccs,0.0,0.0,0.0,0.0,0.0,True
2030,P0022,Shandong,ammonia,0.0,0.0,0.0,0.0,0.0,True
2030,P0023,Henan,unabated,1.0,20013776.0,16.411296319999998,0.0,0.0,True
2030,P0023,Henan,retire,0.0,0.0,0.0,0.0,0.0,True
2030,P0023,Henan,ccs,0.0,0.0,0.0,0.0,0.0,True
2030,P0023,Henan,biomass,0.0,0.0,0.0,0.0,0.0,True
2030,P0023,Henan,beccs,0.0,0.0,0.0,0.0,0.0,True
2030,P0023,Henan,ammonia,0.0,0.0,0.0,0.0,0.0,True
2030,P0024,Chongqing,unabated,1.0,5892071.800000001,4.831498876,0.0,0.0,True
2030,P0024,Chongqing,retire,0.0,0.0,0.0,0.0,0.0,True
2030,P0024,Chongqing,ccs,0.0,0.0,0.0,0.0,0.0,True
2030,P0024,Chongqing,biomass,0.0,0.0,0.0,0.0,0.0,True
2030,P0024,Chongqing,beccs,0.0,0.0,0.0,0.0,0.0,True
2030,P0024,Chongqing,ammonia,0.0,0.0,0.0,0.0,0.0,True
2030,P0025,Jilin,unabated,1.0,15572020.000000002,12.7690564,0.0,0.0,True
2030,P0025,Jilin,retire,0.0,0.0,0.0,0.0,0.0,True
2030,P0025,Jilin,ccs,0.0,0.0,0.0,0.0,0.0,True
2030,P0025,Jilin,biomass,0.0,0.0,0.0,0.0,0.0,True
2030,P0025,Jilin,beccs,0.0,0.0,0.0,0.0,0.0,True
2030,P0025,Jilin,ammonia,0.0,0.0,0.0,0.0,0.0,True
2030,P0026,Hainan,unabated,1.0,10564890.0,8.663209799999999,0.0,0.0,True
2030,P0026,Hainan,retire,0.0,0.0,0.0,0.0,0.0,True
2030,P0026,Hainan,ccs,0.0,0.0,0.0,0.0,0.0,True
2030,P0026,Hainan,biomass,0.0,0.0,0.0,0.0,0.0,True
2030,P0026,Hainan,beccs,0.0,0.0,0.0,0.0,0.0,True
2030,P0026,Hainan,ammonia,0.0,0.0,0.0,0.0,0.0,True
2030,P0027,Shandong,unabated,1.0,58286101.50000001,47.79460323000001,0.0,0.0,True
2030,P0027,Shandong,retire,0.0,0.0,0.0,0.0,0.0,True
2030,P0027,Shandong,ccs,0.0,0.0,0.0,0.0,0.0,True
2030,P0027,Shandong,biomass,0.0,0.0,0.0,0.0,0.0,True
2030,P0027,Shandong,beccs,0.0,0.0,0.0,0.0,0.0,True
2030,P0027,Shandong,ammonia,0.0,0.0,0.0,0.0,0.0,True
2030,P0028,Hunan,unabated,1.0,22425606.0,18.388996919999997,0.0,0.0,True
2030,P0028,Hunan,retire,0.0,0.0,0.0,0.0,0.0,True
2030,P0028,Hunan,ccs,0.0,0.0,0.0,0.0,0.0,True
2030,P0028,Hunan,biomass,0.0,0.0,0.0,0.0,0.0,True
2030,P0028,Hunan,beccs,0.0,0.0,0.0,0.0,0.0,True
2030,P0028,Hunan,ammonia,0.0,0.0,0.0,0.0,0.0,True
2030,P0029,Jilin,unabated,1.0,434568.0,0.35634575999999996,0.0,0.0,True
2030,P0029,Jilin,retire,0.0,0.0,0.0,0.0,0.0,True
2030,P0029,Jilin,ccs,0.0,0.0,0.0,0.0,0.0,True
2030,P0029,Jilin,biomass,0.0,0.0,0.0,0.0,0.0,True
2030,P0029,Jilin,beccs,0.0,0.0,0.0,0.0,0.0,True
2030,P0029,Jilin,ammonia,0.0,0.0,0.0,0.0,0.0,True
2030,P0030,Jilin,unabated,1.0,16227493.4,13.306544588,0.0,0.0,True
2030,P0030,Jilin,retire,0.0,0.0,0.0,0.0,0.0,True
2030,P0030,Jilin,ccs,0.0,0.0,0.0,0.0,0.0,True
2030,P0030,Jilin,biomass,0.0,0.0,0.0,0.0,0.0,True
2030,P0030,Jilin,beccs,0.0,0.0,0.0,0.0,0.0,True
2030,P0030,Jilin,ammonia,0.0,0.0,0.0,0.0,0.0,True
2030,P0031,Shanxi,unabated,1.0,22684550.0,18.601331,0.0,0.0,True
2030,P0031,Shanxi,retire,0.0,0.0,0.0,0.0,0.0,True
2030,P0031,Shanxi,ccs,0.0,0.0,0.0,0.0,0.0,True
2030,P0031,Shanxi,biomass,0.0,0.0,0.0,0.0,0.0,True
2030,P0031,Shanxi,beccs,0.0,0.0,0.0,0.0,0.0,True
2030,P0031,Shanxi,ammonia,0.0,0.0,0.0,0.0,0.0,True
2030,P0032,Henan,unabated,1.0,8531052.0,6.9954626399999995,0.0,0.0,True
2030,P0032,Henan,retire,0.0,0.0,0.0,0.0,0.0,True
2030,P0032,Henan,ccs,0.0,0.0,0.0,0.0,0.0,True
2030,P0032,Henan,biomass,0.0,0.0,0.0,0.0,0.0,True
2030,P0032,Henan,beccs,0.0,0.0,0.0,0.0,0.0,True
2030,P0032,Henan,ammonia,0.0,0.0,0.0,0.0,0.0,True
2030,P0033,Henan,unabated,1.0,22569492.0,18.50698344,0.0,0.0,True
2030,P0033,Henan,retire,0.0,0.0,0.0,0.0,0.0,True
2030,P0033,Henan,ccs,0.0,0.0,0.0,0.0,0.0,True
2030,P0033,Henan,biomass,0.0,0.0,0.0,0.0,0.0,True
2030,P0033,Henan,beccs,0.0,0.0,0.0,0.0,0.0,True
2030,P0033,Henan,ammonia,0.0,0.0,0.0,0.0,0.0,True
2030,P0034,Shandong,unabated,1.0,18403842.0,15.09115044,0.0,0.0,True
2030,P0034,Shandong,retire,0.0,0.0,0.0,0.0,0.0,True
2030,P0034,Shandong,ccs,0.0,0.0,0.0,0.0,0.0,True
2030,P0034,Shandong,biomass,0.0,0.0,0.0,0.0,0.0,True
2030,P0034,Shandong,beccs,0.0,0.0,0.0,0.0,0.0,True
2030,P0034,Shandong,ammonia,0.0,0.0,0.0,0.0,0.0,True
2030,P0035,Anhui,unabated,1.0,46348752.00000001,38.00597664,0.0,0.0,True
2030,P0035,Anhui,retire,0.0,0.0,0.0,0.0,0.0,True
2030,P0035,Anhui,ccs,0.0,0.0,0.0,0.0,0.0,True
2030,P0035,Anhui,biomass,0.0,0.0,0.0,0.0,0.0,True
2030,P0035,Anhui,beccs,0.0,0.0,0.0,0.0,0.0,True
2030,P0035,Anhui,ammonia,0.0,0.0,0.0,0.0,0.0,True
