year,plant_id,province_name,capacity_mw,centroid_longitude,centroid_latitude,retirement_year,dominant_cooling,annual_generation_mwh,baseline_emissions_mt,share_unabated,share_retire,share_ccs,share_biomass,share_beccs,share_ammonia,dominant_pathway,captured_mt,biomass_use_gj,ammonia_use_kg,water_use_m3,air_cooled_share,already_air_share,biomass_blend_level,ammonia_blend_level,min_distance_to_storage_km
2030,P0032,Henan,2370.0,114.94455282857145,35.69333081428572,2055,recirculating,8531052.0,6.9954626399999995,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,12899803.729199998,0.0,0.0,0.0,0.0,35.017
2030,P0033,Henan,6270.0,112.2235970526316,34.61218205263158,2050,recirculating,22569492.0,18.50698344,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,36546778.39559999,0.0,0.0,0.0,0.0,248.963
2030,P0034,Shandong,4220.0,116.80496215,36.2049641,2049,recirculating,18403842.0,15.09115044,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,31454006.3622,0.0,0.0,0.0,0.0,124.13
2030,P0035,Anhui,9120.0,117.78143773571428,30.986382207142857,2052,once-through,46348752.00000001,38.00597664,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,36101042.9328,0.0,0.0,0.0,0.0,226.361
2030,P0036,Jiangsu,27922.0,121.25921157285715,31.52313884714286,2043,once-through,140042791.0,114.83508862,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,44071466.3277,0.0,0.0,0.0,0.0,220.805
2030,P0037,Inner Mongolia,8340.0,111.63531936666668,40.73734619444445,2055,recirculating,41962710.0,34.409422199999995,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,53859138.285000004,0.0,0.1319,0.0,0.0,246.939
2030,P0038,Sichuan,4920.0,106.77105626666668,30.466155083333334,2046,recirculating,24582287.999999996,20.157476159999998,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,42065211.2256,0.0,0.0,0.0,0.0,100.09
2030,P0039,Heilongjiang,2150.0,123.69026015555556,47.216015733333336,2033,once-through,7478775.0,6.1325955,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,10210771.5075,0.0,0.0,0.0,0.0,115.78
2030,P0040,Shanxi,6350.0,112.39579644705884,37.87612592941177,2050,Air,29397324.999999996,24.105806499999996,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,5412047.532499999,1.0,0.8976,0.0,0.0,122.332
2030,P0041,Hebei,3890.0,115.42118525333336,38.861997093333336,2057,recirculating,17330339.0,14.21087798,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,25737286.4489,0.0,0.0,0.0,0.0,75.093
2030,P0042,Shandong,6320.0,117.7747333,36.10888457777778,2050,recirculating,27562152.000000004,22.60096464,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,39380802.777600005,0.0,0.0,0.0,0.0,165.741
