year,province_name,pathway,annual_generation_mwh,baseline_emissions_mt,abatement_mt,captured_mt,province_generation_mwh,generation_share
2040,Tianjin,beccs,0.0,0.0,0.0,0.0,26537140.00000001,0.0
2040,Tianjin,biomass,20188436.642281197,16.55451804667058,16.55451804667058,0.0,26537140.00000001,0.7607615832859603
2040,Tianjin,ccs,0.0,0.0,0.0,0.0,26537140.00000001,0.0
2040,Tianjin,retire,0.0,0.0,0.0,0.0,26537140.00000001,0.0
2040,Tianjin,unabated,6348703.357718815,5.205936753329428,0.0,0.0,26537140.00000001,0.23923841671403973
2040,Xinjiang,ammonia,0.0,0.0,0.0,0.0,493448922.0,0.0
2040,Xinjiang,beccs,24329004.85928979,19.94978398461763,31.94301748981865,20.648026424079244,493448922.0,0.04930399839700084
2040,Xinjiang,biomass,1467379.389510541,1.2032510993986436,1.2032510993986436,0.0,493448922.0,0.0029737209346067657
2040,Xinjiang,ccs,191323926.54160088,156.8856197641127,141.19705778770145,162.37661645585663,493448922.0,0.3877279248400119
2040,Xinjiang,retire,0.0,0.0,0.0,0.0,493448922.0,0.0
2040,Xinjiang,unabated,276328611.2095988,226.589461191871,0.0,0.0,493448922.0,0.5599943558283805
2040,Yunnan,ammonia,0.0,0.0,0.0,0.0,40429444.0,0.0
2040,Yunnan,beccs,0.0,0.0,0.0,0.0,40429444.0,0.0
2040,Yunnan,biomass,35282166.94689559,28.93137689645438,28.93137689645438,0.0,40429444.0,0.8726849408786228
2040,Yunnan,ccs,0.0,0.0,0.0,0.0,40429444.0,0.0
2040,Yunnan,retire,0.0,0.0,0.0,0.0,40429444.0,0.0
2040,Yunnan,unabated,5147277.053104405,4.220767183545613,0.0,0.0,40429444.0,0.1273150591213771
2040,Zhejiang,ammonia,0.0,0.0,0.0,0.0,364498397.9400003,0.0
2040,Zhejiang,beccs,80989509.90513614,66.41139812221162,126.18165643220208,68.73579705648902,364498397.9400003,0.22219441940720885
2040,Zhejiang,biomass,0.0,0.0,0.0,0.0,364498397.9400003,0.0
