plant_id,biomass_node_id,distance_km,cost_cny_per_gj,year,flow_gj,centroid_longitude,centroid_latitude,province_name,node_longitude,node_latitude,node_province
P0111,B01760,13.918,20.0,2030,5793954.846752799,109.99253175,22.4336885,Guangxi,109.87237405896845,22.37600959733381,广西壮族自治区
P0191,B01862,49.951,20.0,2030,1168126.9675377384,111.492692,26.56672,Hunan,111.1024505207918,26.28446177851581,广西壮族自治区
P0191,B01876,46.087,20.0,2030,154582.9280998056,111.492692,26.56672,Hunan,111.26055836969256,26.208187713315407,广西壮族自治区
P0191,B01877,41.061,20.0,2030,27530.27688180583,111.492692,26.56672,Hunan,111.2635984087161,26.259698516156035,广西壮族自治区
P0191,B04455,38.729,20.0,2030,3769795.771733705,111.492692,26.56672,Hunan,111.15077034039322,26.400432369608595,湖南省
P0191,B04456,37.075,20.0,2030,5444892.172395594,111.492692,26.56672,Hunan,111.12895501806592,26.64019156631322,湖南省
P0191,B04457,49.88,20.0,2030,7027046.42898619,111.492692,26.56672,Hunan,111.12500548221104,26.872278710013397,湖南省
P0191,B04478,24.084,20.0,2030,6916532.779484418,111.492692,26.56672,Hunan,111.37963981844705,26.3752261219242,湖南省
P0191,B04479,11.509,20.0,2030,5388933.784956701,111.492692,26.56672,Hunan,111.39621021162316,26.62389512753755,湖南省
P0191,B04480,36.542,20.0,2030,6679884.167651792,111.492692,26.56672,Hunan,111.38088571867476,26.87980662377536,湖南省
P0191,B04500,49.982,20.0,2030,5919961.990740556,111.492692,26.56672,Hunan,111.61955934456614,26.13184002119536,湖南省
P0191,B04501,24.893,20.0,2030,7248489.386072386,111.492692,26.56672,Hunan,111.62400989277516,26.3762020451386,湖南省
P0191,B04502,14.577,20.0,2030,7394041.120283319,111.492692,26.56672,Hunan,111.62553360240804,26.62216987061112,湖南省
P0191,B04503,37.47,20.0,2030,5936754.456283992,111.492692,26.56672,Hunan,111.63098911919646,26.880237383130037,湖南省
P0191,B04522,43.567,20.0,2030,6520059.849848011,111.492692,26.56672,Hunan,111.8784916484155,26.381648056418957,湖南省
P0191,B04523,37.99,20.0,2030,5906061.498636345,111.492692,26.56672,Hunan,111.86931965109515,26.624242765613975,湖南省
P0191,B04524,50.103,20.0,2030,5369866.844307637,111.492692,26.56672,Hunan,111.87268511188329,26.86306280709968,湖南省
P0195,B09988,23.649,20.0,2030,4853544.885635427,107.491416,31.324767,Sichuan,107.38304918506547,31.13333697890136,四川省
P0195,B09989,14.201,20.0,2030,5889455.833847815,107.491416,31.324767,Sichuan,107.36096883235096,31.38723195923396,四川省
P0195,B09990,34.709,20.0,2030,5375230.256660725,107.491416,31.324767,Sichuan,107.367998928594,31.61863019270629,四川省
P0195,B09997,26.153,20.0,2030,5456450.6659364635,107.491416,31.324767,Sichuan,107.6239449673714,31.118671308941693,四川省
P0195,B09998,14.03,20.0,2030,5727957.528675795,107.491416,31.324767,Sichuan,107.62304820132286,31.38207847540281,四川省
P0202,B05391,42.348,20.0,2030,5127497.070145333,115.02031085,27.04720645,Jiangxi,114.63644890197168,26.879906791447848,江西省
P0202,B05392,39.722,20.0,2030,6135096.387721772,115.02031085,27.04720645,Jiangxi,114.6316541241663,27.136027149158338,江西省
P0202,B05393,52.692,20.0,2030,6706082.145165978,115.02031085,27.04720645,Jiangxi,114.63320407713312,27.37282811616278,江西省
P0202,B05410,49.121,20.0,2030,5874002.235997537,115.02031085,27.04720645,Jiangxi,114.86533425981855,26.62765188082316,江西省
P0202,B05411,23.979,20.0,2030,7157959.5644968115,115.02031085,27.04720645,Jiangxi,114.86941472489364,26.87863359481701,江西省
P0202,B05412,16.807,20.0,2030,7187889.602047397,115.02031085,27.04720645,Jiangxi,114.8753474168376,27.125875774929096,江西省
P0202,B05413,39.312,20.0,2030,7079754.510935752,115.02031085,27.04720645,Jiangxi,114.88149026439828,27.378496083718137,江西省
P0202,B05431,46.48,20.0,2030,4509515.85506021,115.02031085,27.04720645,Jiangxi,115.11161250369616,26.63721813157741,江西省
P0202,B05432,21.54,20.0,2030,6007885.793198032,115.02031085,27.04720645,Jiangxi,115.11742100226088,26.87390713703985,江西省
P0202,B05433,13.19,20.0,2030,6578519.299269275,115.02031085,27.04720645,Jiangxi,115.11839428613332,27.127492736163617,江西省
P0202,B05434,37.064,20.0,2030,6226697.386883505,115.02031085,27.04720645,Jiangxi,115.1108145504104,27.370667500611077,江西省
P0202,B05452,58.517,20.0,2030,2358398.5138656124,115.02031085,27.04720645,Jiangxi,115.37565049394745,26.62719515170572,江西省
P0202,B05453,39.826,20.0,2030,4860519.694118456,115.02031085,27.04720645,Jiangxi,115.38063130894712,26.88860933396487,江西省
P0202,B05454,36.301,20.0,2030,6088234.576689576,115.02031085,27.04720645,Jiangxi,115.37391200216769,27.13365293890508,江西省
P0202,B05455,50.89,20.0,2030,5701351.883532134,115.02031085,27.04720645,Jiangxi,115.37987586864834,27.37462065364393,江西省
P0234,B04587,12.412,20.0,2030,2310644.58354,112.643208,26.99216,Hunan,112.63910596215588,27.103726896874736,湖南省
P0241,B01234,21.962,20.0,2030,502854.1644670796,111.693474,23.985332,Guangxi,111.69027497246374,23.78784489518616,广东省
P0241,B01244,26.074,20.0,2030,3192393.942338449,111.693474,23.985332,Guangxi,111.90835752804668,23.857265145614377,广东省
P0241,B01245,30.569,20.0,2030,1736801.5254429895,111.693474,23.985332,Guangxi,111.94654348525708,24.134254472685026,广东省
P0241,B01867,34.355,20.0,2030,7604995.732261648,111.693474,23.985332,Guangxi,111.3770246876818,23.876742860633247,广西壮族自治区
P0241,B01878,34.903,20.0,2030,1690480.935437356,111.693474,23.985332,Guangxi,111.5648626152716,23.69431789828407,广西壮族自治区
P0241,B01879,13.072,20.0,2030,5547506.100002171,111.693474,23.985332,Guangxi,111.61142699135812,23.8947915493635,广西壮族自治区
P0241,B01880,17.287,20.0,2030,7225007.930471932,111.693474,23.985332,Guangxi,111.62441428022588,24.12743053993333,广西壮族自治区
P0241,B01884,14.475,20.0,2030,1524926.3099971076,111.693474,23.985332,Guangxi,111.82290885752693,23.9309800576213,广西壮族自治区
P0241,B01885,20.475,20.0,2030,4002463.267781267,111.693474,23.985332,Guangxi,111.8212322132836,24.12779482105664,广西壮族自治区
P0253,B01570,45.978,20.0,2030,3927707.030520993,107.502443,23.339667,Guangxi,107.13135004229288,23.10583787258037,广西壮族自治区
P0253,B01571,38.443,20.0,2030,4863166.435466405,107.502443,23.339667,Guangxi,107.12828271613084,23.378859261408504,广西壮族自治区
P0253,B01572,49.394,20.0,2030,4733683.800083557,107.502443,23.339667,Guangxi,107.13707657325828,23.631269506358777,广西壮族自治区
P0253,B01587,26.524,20.0,2030,3200881.922034825,107.502443,23.339667,Guangxi,107.36074194100306,23.1397991793182,广西壮族自治区
P0253,B01588,13.181,20.0,2030,4636425.636377515,107.502443,23.339667,Guangxi,107.37790554256831,23.370951197724832,广西壮族自治区
P0253,B01589,34.63,20.0,2030,5486940.211160001,107.502443,23.339667,Guangxi,107.37540022538954,23.62847930072062,广西壮族自治区
