water_node_id,province_name,basin_code,longitude,latitude,source,year_basis
WC_0043_0015_J,西藏自治区,J,87.51635776075108,30.250000000000004,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0043_0015_K,西藏自治区,K,87.04356863020232,31.071828903226955,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0043_0016_K,西藏自治区,K,87.13445850658066,33.0528478819745,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0043_0017_K,西藏自治区,K,87.09196280850516,34.460872313342236,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0043_0018_K,新疆维吾尔族自治区,K,87.12149520574704,36.84027664699033,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0043_0019_K,新疆维吾尔族自治区,K,87.0871750958337,38.96517730065399,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0043_0020_K,新疆维吾尔族自治区,K,86.91230841731931,41.15970013163166,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0043_0021_K,新疆维吾尔族自治区,K,86.90224900659432,43.210587387866326,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0043_0022_K,新疆维吾尔族自治区,K,86.90771072504792,44.97454466601125,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0043_0023_K,新疆维吾尔族自治区,K,87.08187518062965,47.28023843472844,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0043_0024_K,新疆维吾尔族自治区,K,87.16981528262137,48.442148223924534,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0044_0014_J,西藏自治区,J,88.80412155375247,28.735586707998927,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0044_0015_J,西藏自治区,J,88.6767796475442,30.25,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0044_0015_K,西藏自治区,K,88.90585425025252,31.163090454886845,data/water/*_qtot_*.nc,static_hydrology_grid
WC_0044_0016_K,西藏自治区,K,89.08611750296177,33.10245096887983,data/water/*_qtot_*.nc,static_hydrology_grid
