unit_id,plant_site,capacity_mw,commission_year,combustion,cooling_technology,province,latitude,longitude,source,year_basis
G100000114408,山东丰源通达电厂,45.0,2014,subcritical,recirculating,Shandong,34.739641,117.539037,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000115377,山东广富集团热电厂,50.0,2011,subcritical,recirculating,Shandong,36.856324,117.630539,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000114274,山东海化集团潍坊热电厂,30.0,2015,subcritical,recirculating,Shandong,37.130132,119.032725,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000108994,山东海化集团潍坊热电厂,150.0,2011,subcritical,recirculating,Shandong,37.130132,119.032725,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000114276,山东海化集团潍坊热电厂,30.0,2015,subcritical,recirculating,Shandong,37.130132,119.032725,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000114413,山东恒力热电,30.0,2011,subcritical,recirculating,Shandong,35.230326,115.120844,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000114412,山东恒仁工贸公司电厂,40.0,2007,subcritical,recirculating,Shandong,35.160285,117.291613,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000114415,山东恒顺热电,30.0,2011,subcritical,recirculating,Shandong,35.230242,115.120797,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000112804,山东华鲁恒升化工热电厂,60.0,2003,subcritical,recirculating,Shandong,37.462342,116.242966,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000108997,华泰化工集团大王镇热电厂,135.0,2013,subcritical,recirculating,Shandong,37.009067,118.490549,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000108998,华泰化工集团大王镇热电厂,135.0,2013,subcritical,recirculating,Shandong,37.009067,118.490549,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000109003,金岭集团广饶县大王镇热电厂,50.0,2006,subcritical,recirculating,Shandong,36.995441,118.529629,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000109004,金岭集团广饶县大王镇热电厂,50.0,2006,subcritical,recirculating,Shandong,36.995441,118.529629,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000115692,山东鲁泰热电有限公司热电厂,30.0,2009,subcritical,recirculating,Shandong,35.09269,116.562373,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000112938,里能集团鲁西发电煤炭地下气化发电项目,600.0,2022,ultra-supercritical,recirculating,Shandong,35.344546,116.784365,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000112943,里能集团鲁西发电煤炭地下气化发电项目,600.0,2023,ultra-supercritical,recirculating,Shandong,35.344546,116.784365,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100001018843,山东明瑞热电股份有限公司热电联产项目,50.0,2020,CFB,recirculating,Shandong,36.770137,118.142204,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000114424,山东瑞和实业公司发电厂,60.0,2015,subcritical,recirculating,Shandong,36.795221,118.093149,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000115378,山东润银生物化工股份有限公司热电厂,50.0,2008,subcritical,recirculating,Shandong,35.882034,116.454336,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000114085,山钢日照精品基地自备电厂,350.0,2019,supercritical,once-through,Shandong,35.186041,119.388047,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000114086,山钢日照精品基地自备电厂,350.0,2020,supercritical,recirculating,Shandong,35.186041,119.388047,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000101490,信发信源铝业郝集电厂,360.0,2011,supercritical,recirculating,Shandong,36.4873847,116.3332415,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000101491,信发信源铝业郝集电厂,360.0,2012,supercritical,recirculating,Shandong,36.4873847,116.3332415,GEM_with_Cooling_Technology_July2025.xlsx,2025
