plant_id,plant_index,plant_site,unit_count,total_capacity_mw,mean_commission_year,retirement_year,province_mode,dominant_combustion,dominant_cooling_technology,combustion_mix,capacity_mw_once_through,capacity_mw_recirculating,capacity_mw_air,weighted_water_intensity_m3_per_mwh,quota_intensity_m3_per_mwh,air_consumption_intensity_m3_per_mwh,air_consumption_ccs_intensity_m3_per_mwh,already_air_share,requires_water_supply,centroid_latitude,centroid_longitude,source,year_basis,coast_distance_km,seawater_cooled,freshwater_intensity_m3_per_mwh,withdrawal_intensity_m3_per_mwh,consumption_intensity_m3_per_mwh,withdrawal_ccs_intensity_m3_per_mwh,consumption_ccs_intensity_m3_per_mwh,quota_ccs_intensity_m3_per_mwh
P0013,13,H350_012,41,17570.0,2007.6097560975609,2047,Shanxi,subcritical,recirculating,subcritical:0.756;supercritical:0.146;ultra-supercritical:0.098,1260.0,7670.0,8640.0,1.0146,1.3271,0.1742,0.3255,0.4917,True,40.141459399999995,113.16431352926828,inputs/plants_unit.csv,2025,412.14,False,1.0146,9.3047,0.8864,16.2177,1.6328,2.0735
P0014,14,H350_013,8,2460.0,2009.875,2049,Guangdong,subcritical,recirculating,subcritical:0.750;ultra-supercritical:0.250,1320.0,1140.0,0.0,1.0451,1.5863,0.1571,0.301,0.0,True,22.974058575,112.024739125,inputs/plants_unit.csv,2025,107.11,False,1.0451,45.4998,1.0538,78.929,1.876,2.4085
P0015,15,H350_014,6,2530.0,2004.6666666666667,2044,Hunan,subcritical,once-through,subcritical:1.000,1930.0,600.0,0.0,0.7057,0.9781,0.2,0.36,0.0,True,26.08946423333333,113.088394,inputs/plants_unit.csv,2025,372.34,False,0.7057,89.4041,1.4226,152.9598,2.2158,1.7713
P0016,16,H350_015,18,8480.0,2014.388888888889,2054,Hubei,ultra-supercritical,once-through,ultra-supercritical:0.444;subcritical:0.333;CFB:0.111;supercritical:0.111,7960.0,520.0,0.0,0.442,0.5477,0.1355,0.2715,0.0,True,30.660474866666668,113.8259234888889,inputs/plants_unit.csv,2025,663.64,False,0.442,83.1013,0.4759,143.3809,0.7409,0.8127
P0017,17,H350_016,10,9320.0,2020.5,2060,Jiangsu,ultra-supercritical,once-through,ultra-supercritical:1.000,9320.0,0.0,0.0,0.35,0.3599,0.12,0.25,0.0,False,34.11185295999999,120.33350572000002,inputs/plants_unit.csv,2025,0.37,True,0.0,0.0,0.0,0.0,0.0,0.3599
P0018,18,H350_017,4,1060.0,2008.0,2048,Jilin,subcritical,recirculating,subcritical:1.000,0.0,1060.0,0.0,1.85,2.8887,0.2,0.36,0.0,True,42.9040347,129.9301436,inputs/plants_unit.csv,2025,566.41,False,1.85,2.31,2.01,4.51,3.65,4.5287
P0019,19,H350_018,7,3870.0,2008.857142857143,2048,Hunan,subcritical,once-through,subcritical:0.571;supercritical:0.429,3270.0,600.0,0.0,0.5826,0.7735,0.1796,0.3345,0.0,True,27.544403028571427,111.5750416714286,inputs/plants_unit.csv,2025,567.12,False,0.5826,84.7398,1.0794,149.7892,1.5932,1.2873
P0020,20,H350_019,35,12197.0,2010.6571428571428,2050,Zhejiang,subcritical,recirculating,subcritical:0.714;ultra-supercritical:0.229;CFB:0.057,11030.0,1167.0,0.0,0.4935,0.6437,0.1475,0.2879,0.0,True,30.68855748571428,121.14102242857142,inputs/plants_unit.csv,2025,5.28,True,0.177,0.221,0.1923,0.4315,0.3492,0.8006
P0021,21,H350_020,36,10375.0,2007.388888888889,2047,Shandong,subcritical,recirculating,subcritical:0.722;CFB:0.111;ultra-supercritical:0.111;supercritical:0.056,990.0,9385.0,0.0,1.7069,2.3488,0.1724,0.3224,0.0,True,35.4451589,116.69009585,inputs/plants_unit.csv,2025,237.89,False,1.7069,11.1162,1.6659,20.2077,3.0599,3.7428
P0022,22,H350_021,12,3645.0,2007.1666666666667,2047,Shandong,subcritical,recirculating,subcritical:0.667;supercritical:0.333,905.0,2740.0,0.0,1.4776,2.0995,0.1774,0.3317,0.0,True,35.99860965,120.11881293333334,inputs/plants_unit.csv,2025,4.52,True,1.3907,1.691,1.3595,3.2502,2.5204,3.2604
P0023,23,H350_022,14,5560.0,2006.7857142857142,2046,Henan,subcritical,recirculating,subcritical:0.571;supercritical:0.286;ultra-supercritical:0.143,0.0,5560.0,0.0,1.85,2.4514,0.1567,0.3022,0.0,True,33.7993222857143,113.21201491428569,inputs/plants_unit.csv,2025,567.62,False,1.85,1.9985,1.5954,3.9871,3.0334,3.8894
P0024,24,H350_023,14,1229.0,2014.5,2054,Chongqing,subcritical,recirculating,subcritical:0.643;CFB:0.286;supercritical:0.071,0.0,1229.0,0.0,1.85,2.9356,0.1886,0.3458,0.0,True,29.655601142857147,107.31146671428574,inputs/plants_unit.csv,2025,865.02,False,1.85,2.2758,1.8961,4.4046,3.482,4.5215
P0025,25,H350_024,20,4300.0,2010.45,2050,Jilin,subcritical,recirculating,subcritical:0.700;supercritical:0.300,0.0,4300.0,0.0,1.85,2.886,0.1805,0.3356,0.0,True,43.81222732,125.24796920000003,inputs/plants_unit.csv,2025,419.46,False,1.85,2.2514,1.8147,4.3293,3.3619,4.4332
P0026,26,H350_025,6,2100.0,2012.0,2052,Hainan,supercritical,once-through,supercritical:1.000,2100.0,0.0,0.0,0.35,0.49,0.16,0.31,0.0,False,18.879123466666666,108.65169856666665,inputs/plants_unit.csv,2025,1.12,True,0.0,0.0,0.0,0.0,0.0,0.49
P0027,27,H350_026,32,13365.0,2012.9375,2052,Shandong,subcritical,recirculating,subcritical:0.406;ultra-supercritical:0.344;supercritical:0.250,680.0,12685.0,0.0,1.7737,2.3621,0.1462,0.2874,0.0,True,36.48592403125,116.036756325,inputs/plants_unit.csv,2025,242.99,False,1.7737,6.9723,1.4565,12.7591,2.7855,3.6911
P0028,28,H350_027,10,5740.0,2010.2,2050,Hunan,supercritical,once-through,supercritical:0.400;subcritical:0.400;ultra-supercritical:0.200,3880.0,1860.0,0.0,0.8361,1.0659,0.155,0.3002,0.0,True,27.64443306,113.13893942,inputs/plants_unit.csv,2025,544.38,False,0.8361,61.9568,0.9341,108.6246,1.5605,1.6923
P0029,29,H350_028,3,120.0,2018.0,2058,Jilin,subcritical,recirculating,subcritical:1.000,0.0,120.0,0.0,1.85,3.2,0.2,0.36,0.0,True,44.58916933333334,127.02565466666665,inputs/plants_unit.csv,2025,548.95,False,1.85,2.31,2.01,4.51,3.65,4.84
P0030,30,H350_029,24,4481.0,2008.6666666666667,2048,Jilin,subcritical,recirculating,subcritical:0.833;supercritical:0.167,0.0,3141.0,1340.0,1.4074,2.1988,0.1818,0.3372,0.299,True,43.90009873333333,126.50366462499998,inputs/plants_unit.csv,2025,458.8,False,1.4074,1.6633,1.3943,3.2261,2.559,3.3635
P0031,31,H350_030,12,4900.0,2011.1666666666667,2051,Shanxi,supercritical,Air,supercritical:0.500;subcritical:0.500,0.0,1200.0,3700.0,0.7324,1.0524,0.1747,0.3284,0.7551,True,36.44789901666667,111.59607949999999,inputs/plants_unit.csv,2025,580.72,False,0.7324,0.7267,0.618,1.419,1.1341,1.5685
P0032,32,H350_031,7,2370.0,2015.857142857143,2055,Henan,subcritical,recirculating,subcritical:0.429;supercritical:0.286;ultra-supercritical:0.286,0.0,2370.0,0.0,1.85,2.6219,0.1477,0.2895,0.0,True,35.693330814285716,114.94455282857143,inputs/plants_unit.csv,2025,375.55,False,1.85,1.9049,1.5121,3.8589,2.9086,4.0184
P0033,33,H350_032,19,6270.0,2010.5263157894738,2050,Henan,subcritical,recirculating,subcritical:0.579;ultra-supercritical:0.211;supercritical:0.211,0.0,6270.0,0.0,1.85,2.5761,0.1589,0.3046,0.0,True,34.61218205263158,112.22359705263159,inputs/plants_unit.csv,2025,638.58,False,1.85,1.9898,1.6193,3.9973,3.0681,4.0249
P0034,34,H350_033,16,4220.0,2009.25,2049,Shandong,subcritical,recirculating,subcritical:0.625;supercritical:0.125;ultra-supercritical:0.125;CFB:0.125,0.0,4220.0,0.0,1.85,2.6237,0.1683,0.3173,0.0,True,36.2049641,116.80496215,inputs/plants_unit.csv,2025,218.63,False,1.85,2.0618,1.7091,4.1139,3.2018,4.1164
P0035,35,H350_034,14,9120.0,2012.857142857143,2052,Anhui,ultra-supercritical,once-through,ultra-supercritical:0.643;subcritical:0.214;supercritical:0.143,5600.0,3520.0,0.0,0.9289,1.1186,0.1337,0.2695,0.0,True,30.986382207142857,117.78143773571428,inputs/plants_unit.csv,2025,286.78,False,0.9289,55.0775,0.7789,95.2349,1.4076,1.7473
P0036,36,H350_035,70,27922.0,2003.642857142857,2043,Jiangsu,subcritical,once-through,subcritical:0.657;ultra-supercritical:0.186;supercritical:0.157,23550.0,4372.0,0.0,0.5849,0.7828,0.159,0.3049,0.0,True,31.52313884714286,121.25921157285715,inputs/plants_unit.csv,2025,3.89,True,0.2897,0.3617,0.3147,0.7062,0.5715,1.0396
P0037,37,H350_036,18,8340.0,2015.611111111111,2055,Inner Mongolia,subcritical,recirculating,subcritical:0.333;ultra-supercritical:0.333;supercritical:0.333,0.0,7240.0,1100.0,1.6548,2.1514,0.1454,0.2862,0.1319,True,40.73734619444445,111.63531936666669,inputs/plants_unit.csv,2025,555.89,False,1.6548,1.6077,1.2835,3.3137,2.4897,3.3576
P0038,38,H350_037,12,4920.0,2006.0833333333333,2046,Sichuan,subcritical,recirculating,subcritical:0.667;ultra-supercritical:0.167;supercritical:0.167,0.0,4920.0,0.0,1.85,2.5207,0.1688,0.3183,0.0,True,30.466155083333334,106.77105626666668,inputs/plants_unit.csv,2025,962.48,False,1.85,2.0849,1.7112,4.1327,3.2056,4.0151
P0039,39,H350_038,9,2150.0,1993.6666666666667,2033,Heilongjiang,subcritical,once-through,subcritical:0.889;supercritical:0.111,1550.0,600.0,0.0,0.7686,1.2351,0.1935,0.3519,0.0,True,47.216015733333336,123.69026015555556,inputs/plants_unit.csv,2025,718.19,False,0.7686,80.1288,1.3653,138.6788,2.1449,2.0147
P0040,40,H350_039,17,6350.0,2010.7058823529412,2050,Shanxi,subcritical,Air,subcritical:0.765;supercritical:0.235,0.0,650.0,5700.0,0.5215,0.7602,0.1841,0.3402,0.8976,True,37.87612592941177,112.39579644705883,inputs/plants_unit.csv,2025,462.46,False,0.5215,0.435,0.3694,0.8497,0.6769,1.0677
P0041,41,H350_040,15,3890.0,2017.6666666666667,2057,Hebei,subcritical,recirculating,subcritical:0.533;supercritical:0.267;ultra-supercritical:0.200,600.0,3290.0,0.0,1.6186,2.3679,0.1576,0.3035,0.0,True,38.861997093333336,115.42118525333335,inputs/plants_unit.csv,2025,186.49,False,1.6186,19.6214,1.4851,34.0182,2.7561,3.6389
P0042,42,H350_041,18,6320.0,2010.0555555555557,2050,Shandong,subcritical,recirculating,subcritical:0.667;ultra-supercritical:0.222;CFB:0.111,1595.0,4725.0,0.0,1.4714,1.884,0.1587,0.3033,0.0,True,36.10888457777778,117.77473330000001,inputs/plants_unit.csv,2025,162.18,False,1.4714,30.7469,1.4288,53.0699,2.5978,3.053
P0043,43,H350_042,25,14100.0,2013.8,2053,Anhui,ultra-supercritical,recirculating,ultra-supercritical:0.320;subcritical:0.320;supercritical:0.280;CFB:0.080,600.0,13500.0,0.0,1.7862,2.2574,0.1493,0.2917,0.0,True,33.761710992,116.75494276399999,inputs/plants_unit.csv,2025,257.29,False,1.7862,5.6049,1.489,10.5735,2.8384,3.6068
P0044,44,H350_043,26,2955.0,2000.4615384615386,2040,Heilongjiang,subcritical,recirculating,subcritical:0.923;supercritical:0.077,1600.0,1355.0,0.0,1.0378,1.7235,0.1905,0.3482,0.0,True,46.498028515384625,124.97499467692306,inputs/plants_unit.csv,2025,673.94,False,1.0378,57.5946,1.4628,100.9655,2.4141,2.6748
P0045,45,H350_044,31,13910.0,2007.3548387096773,2047,Henan,subcritical,recirculating,subcritical:0.548;supercritical:0.258;ultra-supercritical:0.129;CFB:0.065,1200.0,9410.0,3300.0,1.3695,1.7175,0.163,0.3109,0.2372,True,35.190280632258066,112.67363529032258,inputs/plants_unit.csv,2025,565.63,False,1.3695,9.0451,1.1458,16.6842,2.1506,2.7223
P0046,46,H350_045,45,18468.8,2012.3555555555556,2052,Zhejiang,subcritical,recirculating,subcritical:0.578;ultra-supercritical:0.356;CFB:0.044;supercritical:0.022,16730.0,1738.8,0.0,0.4912,0.6442,0.1413,0.2794,0.0,True,30.014926726666676,121.86577418444443,inputs/plants_unit.csv,2025,2.26,True,0.1742,0.2175,0.1892,0.4246,0.3436,0.7986
P0047,47,H350_046,14,3280.0,2012.7857142857142,2052,Liaoning,subcritical,recirculating,subcritical:0.714;supercritical:0.143;ultra-supercritical:0.143,2020.0,1260.0,0.0,0.9262,1.4114,0.1593,0.3051,0.0,True,41.001320185714285,120.95330144285712,inputs/plants_unit.csv,2025,16.01,True,0.7107,0.8874,0.7721,1.7325,1.4021,2.0414
P0048,48,H350_047,4,1400.0,2022.5,2062,Shanxi,supercritical,Air,supercritical:1.000,0.0,0.0,1400.0,0.37,0.57,0.16,0.31,1.0,True,38.213208,111.1116265,inputs/plants_unit.csv,2025,567.43,False,0.37,0.21,0.16,0.41,0.31,0.72
P0049,49,H350_048,4,1360.0,2018.25,2058,Xinjiang,supercritical,recirculating,supercritical:0.500;subcritical:0.500,0.0,1360.0,0.0,1.85,2.7,0.1794,0.3343,0.0,True,42.808315,88.9060775,inputs/plants_unit.csv,2025,2462.75,False,1.85,2.2482,1.8041,4.3196,3.3463,4.2422
P0050,50,H350_049,4,1960.0,2013.25,2053,Henan,supercritical,recirculating,supercritical:1.000,0.0,1960.0,0.0,1.85,2.475,0.16,0.31,0.0,True,34.5444303,115.4996139,inputs/plants_unit.csv,2025,342.93,False,1.85,2.19,1.61,4.14,3.06,3.925
P0051,51,H350_050,20,8180.0,2005.05,2045,Hebei,subcritical,Air,subcritical:0.700;supercritical:0.200;ultra-supercritical:0.100,3120.0,1920.0,3140.0,0.7098,1.0057,0.1752,0.3273,0.3839,True,38.11601805999999,114.29729676999997,inputs/plants_unit.csv,2025,292.42,False,0.7098,35.5742,0.7715,62.6284,1.2974,1.5316
P0052,52,H350_051,57,27370.0,2010.859649122807,2050,Jiangsu,subcritical,once-through,subcritical:0.474;ultra-supercritical:0.351;supercritical:0.140;CFB:0.035,23160.0,4210.0,0.0,0.5807,0.7513,0.1421,0.2813,0.0,True,31.886977849122808,120.36732789473683,inputs/plants_unit.csv,2025,59.49,False,0.5807,74.1451,0.6305,129.5682,1.0035,1.1243
P0053,53,H350_052,9,2800.0,2007.3333333333333,2047,Heilongjiang,subcritical,recirculating,subcritical:1.000,0.0,2800.0,0.0,1.85,2.6036,0.2,0.36,0.0,True,45.52289057777777,130.88350004444445,inputs/plants_unit.csv,2025,821.11,False,1.85,2.31,2.01,4.51,3.65,4.2436
P0054,54,H350_053,14,4420.0,2001.7857142857142,2041,Hebei,subcritical,recirculating,subcritical:1.000,0.0,4420.0,0.0,1.85,2.7,0.2,0.36,0.0,True,40.658597571428565,114.86662302857142,inputs/plants_unit.csv,2025,302.6,False,1.85,2.31,2.01,4.51,3.65,4.34
P0055,55,H350_054,8,3700.0,2010.25,2050,Shanxi,supercritical,Air,supercritical:0.500;subcritical:0.500,0.0,0.0,3700.0,0.37,0.5181,0.1795,0.3343,1.0,True,34.722310675,110.29182067500001,inputs/plants_unit.csv,2025,774.44,False,0.37,0.2197,0.1795,0.4295,0.3343,0.6729
P0056,56,H350_055,6,4020.0,2022.1666666666667,2062,Jiangxi,ultra-supercritical,recirculating,ultra-supercritical:0.667;supercritical:0.333,700.0,3320.0,0.0,1.5888,1.852,0.127,0.2604,0.0,True,25.235139166666666,114.6474855,inputs/plants_unit.csv,2025,268.43,False,1.5888,16.785,1.1607,30.9611,2.2375,2.9288
P0057,57,H350_056,9,2920.0,2010.888888888889,2050,Gansu,subcritical,Air,subcritical:0.778;supercritical:0.222,0.0,700.0,2220.0,0.7248,1.0806,0.1904,0.348,0.7603,True,36.10173662222222,103.63660057777777,inputs/plants_unit.csv,2025,1267.55,False,0.7248,0.6999,0.538,1.3346,1.0073,1.5499
P0058,58,H350_057,18,4515.0,2018.0555555555557,2058,Jiangsu,CFB,recirculating,CFB:0.500;subcritical:0.278;supercritical:0.111;ultra-supercritical:0.111,3320.0,1195.0,0.0,0.747,1.0517,0.1529,0.2967,0.0,True,34.54334577777778,119.50311133333334,inputs/plants_unit.csv,2025,7.16,True,0.4896,0.6114,0.532,1.1937,0.9661,1.4858
P0059,59,H350_058,42,20820.0,2012.6904761904761,2052,Inner Mongolia,subcritical,recirculating,subcritical:0.619;ultra-supercritical:0.333;supercritical:0.048,0.0,14220.0,6600.0,1.3808,1.7996,0.1593,0.3044,0.317,True,39.86658994761905,111.26340109523811,inputs/plants_unit.csv,2025,560.78,False,1.3808,1.4252,1.2038,2.8932,2.2624,2.8582
P0060,60,H350_059,15,4962.0,2012.2,2052,Shandong,supercritical,recirculating,supercritical:0.533;subcritical:0.467,3110.0,1852.0,0.0,0.9099,1.31,0.1721,0.3251,0.0,True,35.25980932000001,119.34751615999998,inputs/plants_unit.csv,2025,3.83,True,0.6905,0.8368,0.6656,1.605,1.2375,1.8819
P0061,61,H350_060,28,3920.0,2011.3214285714287,2051,Shandong,subcritical,recirculating,subcritical:0.929;supercritical:0.071,1340.0,2580.0,0.0,1.3372,2.1655,0.1863,0.3429,0.0,True,36.916450514285714,118.8704271357143,inputs/plants_unit.csv,2025,32.98,False,1.3372,31.9096,1.5588,58.1715,2.6929,3.2996
