biomass_node_id,province_id,province_name,longitude,latitude,available_gj,biomass_supply_gj,biomass_supply_tonnes_equiv,unit,mass_conversion_gj_per_tonne,base_cost_cny_per_gj,low_cost_cny_per_gj,high_cost_cny_per_gj,match_rule,competition_scope,buffer_km,aggregation_cell_deg,land_competition_included,source,year_basis
B00022,1,安徽省,115.62408079070852,33.37390166003491,10542507.672622915,10542507.672622915,702833.8448415276,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00023,1,安徽省,115.65808001532872,33.61277294097755,7478586.066329826,7478586.066329826,498572.40442198835,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00024,1,安徽省,115.66998574662534,33.8718231738001,6537519.773692277,6537519.773692277,435834.65157948516,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00025,1,安徽省,115.68214641213467,34.03056759499839,1235311.3819264723,1235311.3819264723,82354.09212843148,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00026,1,安徽省,115.95291486601789,30.386922013763588,1580238.9372218202,1580238.9372218202,105349.26248145469,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00027,1,安徽省,115.90652539940271,30.647547127714322,4207846.813120161,4207846.813120161,280523.12087467744,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00028,1,安徽省,115.92956037799888,30.825811017132356,2641847.031133146,2641847.031133146,176123.1354088764,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00029,1,安徽省,115.90851518962472,31.14875552302417,2169730.344760441,2169730.344760441,144648.6896506961,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00030,1,安徽省,115.874012070232,31.37989731729639,3282390.7437792714,3282390.7437792714,218826.04958528475,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00031,1,安徽省,115.87489143870984,31.61266973676967,3784139.571689892,3784139.571689892,252275.9714459928,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00032,1,安徽省,115.9307488191317,31.854055775595196,2627494.6906670197,2627494.6906670197,175166.31271113464,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00033,1,安徽省,115.96225077041589,32.13027400771472,2151258.021872204,2151258.021872204,143417.2014581469,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00034,1,安徽省,115.94300914702777,32.38275763475612,3166617.7415307155,3166617.7415307155,211107.84943538104,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00035,1,安徽省,115.87806016006742,32.62758529132363,9516728.32158118,9516728.32158118,634448.5547720786,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00036,1,安徽省,115.87305224689392,32.877978987936075,10186202.35942292,10186202.35942292,679080.1572948614,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00037,1,安徽省,115.87213935136377,33.12483117860753,10767929.13058346,10767929.13058346,717861.9420388973,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00038,1,安徽省,115.87559309911857,33.374794484538604,10725710.006623939,10725710.006623939,715047.3337749293,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00039,1,安徽省,115.8744242866452,33.62283878672655,10447458.256198647,10447458.256198647,696497.2170799098,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
