storage_hub_id,storage_hub_index,storage_type,province,storage_dsa_mt,storage_eor_mt,storage_all_mt,injectivity_dsa_avg_mtpa,injectivity_eor_avg_mtpa,pixel_count,offshore,longitude,latitude,source,year_basis
S041,41,eor,,0.0,125.47922274423763,125.47922274423763,0.0,27.96859884262085,10,False,125.3589,45.953,封存汇图层-Fan,Fan_raster_5km
S042,42,eor,,0.0,103.07199958711863,103.07199958711863,0.0,46.50865077972412,11,False,124.8348,46.7397,封存汇图层-Fan,Fan_raster_5km
S043,43,eor,,0.0,101.63373130559921,101.63373130559921,0.0,231.26648473739624,12,False,90.925,38.1387,封存汇图层-Fan,Fan_raster_5km
S044,44,eor,,0.0,83.61200714111328,83.61200714111328,0.0,0.21280455589294434,1,False,108.8407,36.955,封存汇图层-Fan,Fan_raster_5km
S045,45,eor,,0.0,82.02511185407639,82.02511185407639,0.0,12.546027163043618,8,False,109.2639,37.0886,封存汇图层-Fan,Fan_raster_5km
S046,46,eor,,0.0,81.07814582437277,81.07814582437277,0.0,193.04412460327148,7,False,90.4468,43.0635,封存汇图层-Fan,Fan_raster_5km
S047,47,eor,,0.0,72.03335666656494,72.03335666656494,0.0,33.93109083175659,6,False,124.5333,45.2106,封存汇图层-Fan,Fan_raster_5km
S048,48,eor,,0.0,69.80987572669983,69.80987572669983,0.0,27.842275142669678,6,False,125.0296,45.613,封存汇图层-Fan,Fan_raster_5km
S049,49,eor,,0.0,68.56576824188232,68.56576824188232,0.0,0.2866347134113312,2,False,107.6213,35.8865,封存汇图层-Fan,Fan_raster_5km
S050,50,eor,,0.0,68.26500514149666,68.26500514149666,0.0,3.526475429534912,4,False,117.1119,47.8808,封存汇图层-Fan,Fan_raster_5km
S051,51,eor,,0.0,56.5593505539,56.5593505539,0.0,2947.1242141723633,38,False,119.699,32.6671,封存汇图层-Fan,Fan_raster_5km
S052,52,eor,,0.0,55.92641922831535,55.92641922831535,0.0,0.0,5,False,116.8446,37.1891,封存汇图层-Fan,Fan_raster_5km
S053,53,eor,,0.0,55.30221997201443,55.30221997201443,0.0,828.215832233429,30,False,115.7524,38.3058,封存汇图层-Fan,Fan_raster_5km
